estab_internacao;zero_nove;dez_nove;vinte_nove;trinta_nove;quarenta_nove;cinquenta_nove;sessenta_nove;setenta_nove;oitenta_nove;noventa_nove;cem_mais;ignorada;total
2080427 HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA;60;3;;;;;;;;;;;63
6095666 HOSPITAL MUNICIPAL DE BARUERI DR FRANCISCO MORAN;2;;;1;1;4;4;2;;;;;14
2083272 HOSPITAL MUNICIPAL DE BERTIOGA;;;;1;;3;;;;;;;4
2080028 HOSPITAL MUNICIPAL DE DIADEMA HMD;;;4;2;4;5;3;1;;;;;19
5935857 HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN;5;;1;5;11;11;20;29;14;6;;;102
2554623 HOSPITAL MUNICIPAL DE JIJOCA DE JERICOACOARA;;;;1;;;;;;;;;1
2743477 HOSPITAL MUNICIPAL DE MARINGA THELMA VILLANOVA KASPROWICZ;;;;;;;1;;;;;;1
2081059 HOSPITAL MUNICIPAL DE PAULINIA;;;;;1;;;;;;;;1
2082411 HOSPITAL MUNICIPAL DR GUIDO GUIDA;1;;1;3;1;3;2;2;3;;;;16
0009628 HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE;;1;1;1;;;2;;;;;;5
2081490 HOSPITAL MUNICIPAL DR MARIO GATTI CAMPINAS;;;;;;1;;;;;;;1
2058790 HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI;;;;;;;1;;;1;;;2
2747871 HOSPITAL MUNICIPAL GOV MARIO COVAS JR;;;;1;;;;;;;;;1
0161438 HOSPITAL MUNICIPAL GUARAPIRANGA;3;19;135;319;583;715;726;510;246;49;5;4;3314
5061989 HOSPITAL MUNICIPAL PADRE GERMANO LAUCK;1;;1;;;1;;;;;;;3
5200105 HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA;1;;1;;2;4;3;5;2;1;;;19
2027356 HOSPITAL MUNICIPAL UNIVERSITARIO;;;1;;;;;;;;;;1
2023474 HOSPITAL MUNICIPAL WALTER FERRARI;;;1;;;;;;;;;;1
9149511 HOSPITAL NEUROCENTER;26;1;6;18;35;42;35;18;9;;;;190
2083248 HOSPITAL NEXT SAO BERNARDO;;1;4;8;16;11;13;6;4;2;;;65
2089777 HOSPITAL NIPO BRASILEIRO;132;17;49;180;250;220;140;76;66;20;1;;1151
2080052 HOSPITAL NOSSA SENHORA APARECIDA;;;;;;1;1;;2;;;;4
2078538 HOSPITAL NOSSA SENHORA APARECIDA - ITUPEVA (SP);;;;;;1;;;;;;;1
2257548 HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQUA - CAMAQUA (RS);;;;;1;;;;;;;;1
2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO;;;;;;1;;;;;;;1
2082330 HOSPITAL NOSSA SENHORA DE FATIMA;20;8;20;25;57;42;27;30;9;3;;;241
9768688 HOSPITAL NOVA NEOMATER;;;;5;2;5;5;9;6;1;;;33
2078228 HOSPITAL NOVO ATIBAIA;1;;;1;2;1;3;2;;;;;10
2076950 HOSPITAL OSWALDO CRUZ;;7;26;95;180;239;200;178;118;46;1;;1090
3001113 HOSPITAL OTOCLINICA;;;1;1;;;;;;;;;2
7898843 HOSPITAL PANAMERICANO - RIO DE JANEIRO - RJ;;;;1;;1;;1;;;;;3
2210924 HOSPITAL PHILADELFIA;;;;;;;;2;;;;;2
2078767 HOSPITAL PITANGUEIRAS;3;;;1;9;;2;1;3;1;;;20
2798220 HOSPITAL PREVINA;4;;3;6;17;29;16;8;3;1;;1;88
9357661 HOSPITAL PROMED - GOIANIA (GO);;;;;1;1;;;;;;;2
2600536 HOSPITAL REGIONAL DE ARAGUAINA;;;;;;1;;;;;;;1
2083094 HOSPITAL REGIONAL DE ASSIS;;;;;1;;;;;;;;1
2792141 HOSPITAL REGIONAL DE COTIA;2;;1;2;4;5;2;5;5;;;;26
2081601 HOSPITAL REGIONAL DE FRANCA - FRANCA - SP;;;;;1;;;1;;;;;2
0009725 HOSPITAL REGIONAL DE MATO GROSSO DO SUL;1;;;;;;;;;;;;1
9425802 HOSPITAL REGIONAL DE PIRACICABA - PIRACICABA (SP);;;;;;;1;;;;;;1
0008052 HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO;;;4;17;14;31;31;15;4;2;;1;119
9141839 HOSPITAL REGIONAL JOSE ALENCAR - UBERABA - MG;;;;;;;;;1;;;;1
2091313 HOSPITAL REGIONAL SUL SAO PAULO;225;23;70;70;144;177;230;150;69;13;;;1171
3242587 HOSPITAL REGIONAL UNIMED - FORTALEZA (CE);;;;;1;;;1;;;;;2
7044666 HOSPITAL RENASCENCA CAMPINAS;;;;;;3;;;;;;;3
9490604 HOSPITAL SAGRADA FAMILIA;;;1;9;5;9;9;15;11;1;;;60
9554157 HOSPITAL SALVALUS;242;31;99;264;372;430;550;410;201;61;1;;2661
2023148 HOSPITAL SAMARITANO DE CAMPINAS;;;;;;;1;;1;;;;2
2078732 HOSPITAL SAMARITANO DE SOROCABA;1;;1;;;1;1;1;;;1;;6
9684948 HOSPITAL SAMARITANO PAULISTA;;5;24;69;112;112;99;98;82;15;;;616
7174691 HOSPITAL SANCTA MAGGIORE ALTO DA MOOCA;;;;;6;26;81;102;81;24;2;;322
9131434 HOSPITAL SANCTA MAGGIORE HIGIENOPOLIS;;;2;6;15;69;205;247;204;71;1;;820
7174705 HOSPITAL SANCTA MAGGIORE ITAIM;;;;;;1;1;7;11;3;;;23
7174713 HOSPITAL SANCTA MAGGIORE MOOCA;;;;2;7;55;141;206;111;36;1;;559
7174721 HOSPITAL SANCTA MAGGIORE PARAISO;;1;5;28;35;226;579;887;705;284;14;;2764
7357079 HOSPITAL SANCTA MAGGIORE PINHEIROS;1;1;4;6;21;96;261;255;235;75;2;;957
7435568 HOSPITAL SANCTA MAGGIORE SAO BERNARDO;;;;;;2;3;4;3;3;;;15
9620494 HOSPITAL SANTA ANA;;;2;2;7;19;28;39;24;14;;;135
2149990 HOSPITAL SANTA CASA DE MONTES CLAROS;;;;;;;1;;;;;;1
7676484 HOSPITAL SANTA CLARA;13;5;9;18;48;60;95;102;52;3;;;405
2151871 HOSPITAL SANTA CLARA;;;;;;1;;1;;;;;2
3000869 HOSPITAL SANTA CRUZ;;;;1;;;;;;;;;1
2078759 HOSPITAL SANTA ELISA;;;;1;;;;;;;;;1
3528596 HOSPITAL SANTA HELENA;;1;3;15;18;17;23;25;17;11;;;130
2081539 HOSPITAL SANTA HELENA ASSISTENCIA MEDICA SB DO CAMPO;4;;;1;1;1;;2;1;;;;10
2797844 HOSPITAL SANTA HELENA SAO JOSE DO RIO PRETO;;;;;;;;1;;;;;1
2078872 HOSPITAL SANTA IGNES;1;;;;;1;;;;;;1;3
2558246 HOSPITAL SANTA ISABEL;;;;;;;1;;;;;;1
2079445 HOSPITAL SANTA ISABEL;;6;41;81;79;92;93;76;68;29;1;;566
2129566 HOSPITAL SANTA LUCIA HOSPITAL DO CORACAO;;;;1;1;;;;1;;;;3
3005402 HOSPITAL SANTA LUZIA - BRASILIA - DF;1;;;;;;;;;;;;1
7849184 HOSPITAL SANTA MARIA DE SUZANO;;;1;3;4;3;1;2;;;;;14
2089580 HOSPITAL SANTA PAULA;;5;37;95;127;123;123;100;83;41;;;734
2604388 HOSPITAL SANTA ROSA;;;;;;1;;;;;;;1
2083256 HOSPITAL SANTANA;;;1;7;6;6;7;3;2;;;;32
2754843 HOSPITAL SANTO AMARO;;1;;;;1;1;;;;;;3
2303167 HOSPITAL SANTO ANTONIO DE ITAPEMA - ITAPEMA (SC);;;;1;;;;;;;;;1
2795671 HOSPITAL SANTO ANTONIO - SINOP (MT);;;;;1;;;;;;;;1
5654688 HOSPITAL SANTO EXPEDITO;;;;;;;1;;;1;;;2
3047822 HOSPITAL SAO BERNARDO;;;10;19;38;46;38;23;3;1;;;178
3027600 HOSPITAL SAO CAMILO IPIRANGA;;4;25;84;111;119;76;57;44;23;2;;545
2688565 HOSPITAL SAO CAMILO POMPEIA;111;27;107;307;342;321;263;172;142;61;2;;1855
3039420 HOSPITAL SAO CAMILO SANTANA;14;12;30;90;131;143;97;46;52;11;1;;627
2308665 HOSPITAL SAO DOMINGOS (SAO LUIS - MARANHAO);;;;1;;;;;;;;;1
2079275 HOSPITAL SAO FRANCISCO RIBEIRAO PRETO;;;;;;;1;;;;;;1
3101126 HOSPITAL SAO FRANCISCO SC LTDA;;;1;1;1;3;2;2;;;;;10
2144298 HOSPITAL SAO JUDAS TADEU DE OLIVEIRA;;;;;;1;;;;;;;1
5171946 HOSPITAL SAO LUCAS RIBEIRANIA (RIBEIRÇO PRETO);;;1;1;;;;;;;;;2
2081261 HOSPITAL SAO LUIZ;;;;;;;;1;;;;;1
9194258 HOSPITAL SAO LUIZ SAO CAETANO;37;10;26;93;106;74;25;13;2;1;;;387
2077485 HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO;162;49;52;88;142;215;289;210;114;33;1;;1355
0003808 HOSPITAL SAO RAFAEL;;;;;1;;;1;;;;;2
2562871 HOSPITAL SAO RAIMUNDO;1;;;;;;;;;;;;1
2079313 HOSPITAL SAO ROQUE CABREUVA;;;;;;1;;;;;;;1
2122677 HOSPITAL SAO SALVADOR - ALEM PARAIBA (MG);;;;1;;;;;;;;;1
2487756 HOSPITAL SAO VICENTE DE PAULO;;;;;4;1;1;;;;;;6
2081741 HOSPITAL SBC;;;;4;6;6;7;9;7;3;;;42
2819473 HOSPITAL SERRA MAYOR;;;1;4;11;15;2;2;2;;;;37
5101654 HOSPITAL SINO BRASILEIRO;13;2;6;9;7;4;1;2;2;;;;46
2078155 HOSPITAL STELLA MARIS;;1;1;3;2;3;;2;1;;;;13
3018903 HOSPITAL UNIMED;;;;;;1;;;;;;;1
3038130 HOSPITAL UNIMED AMERICANA;;;;;;;1;;;;;;1
3366219 HOSPITAL UNIMED ARACATUBA;;;;;;1;;2;;;;;3
2708566 HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO;;;;;1;;;1;;;;;2
3718395 HOSPITAL UNIMED LITORAL;;;;;;;1;;;;;;1
2080699 HOSPITAL UNIMED PIRACICABA;1;;;;1;;;;;;;;2
6962831 HOSPITAL UNIMED RECIFE III;;;;;1;;1;;;;;;2
7965192 HOSPITAL UNIMED RIBEIRAO PRETO;;;;;;;1;;;;;;1
6194168 HOSPITAL UNIMED UNIDADE ANCHIETA;;;;;;2;;;;;;;2
6437745 HOSPITAL UNIMED UNIDADE CONTORNO;;;1;;;;1;;1;;;;3
5586348 HOSPITAL UNIV DA UFSCAR PROF DR HORACIO C PANEPUCCI - SAO CARLOS (SP);;;;;;1;;;1;;;;2
2076926 HOSPITAL UNIVERSITARIO DA USP SAO PAULO;4;2;5;14;26;54;40;40;37;8;1;;231
0015245 HOSPITAL UNIVERSITARIO EVANGELICO MACKENZIE;1;;;;;;;;;;;;1
2587335 HOSPITAL UNIVERSITARIO REGIONAL DE MARINGA;;;;;;;;1;;;;;1
2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA;;;;;;1;1;;;;;;2
2704900 HOSPITAL UNIVERSITARIO SAO FRANCISCO NA PROVIDENCIA DE DEUS;;;1;;1;;1;;;;;;3
2078376 HOSPITAL VERA CRUZ;;;;1;;;;;;1;;;2
9735372 HOSPITAL VILA NOVA STAR;;;2;24;30;24;23;22;11;4;;;140
5590450 HOSPITAL VILLA LOBOS;;10;42;115;123;109;61;45;30;11;1;;547
6668143 HOSPITAL VITORIA;213;15;49;159;235;217;128;90;67;27;;;1200
7642423 HOSPITAL VITORIA;;;1;;;;;;;;;;1
3507157 HOSPITAL VIVALLE;;;;2;2;2;1;;;;;;7
6988938 HOSPITAL VIVALLE - SAO JOSE DOS CAMPOS;;;;1;;;;;;;;;1
3811735 HOSPITALAR ASSUNCAO;;;;;3;;;;;;;;3
3272591 HOSPITALIS;;;;1;1;;;;;;;;2
3027805 HSANP HOSPITAL;8;1;3;9;10;14;10;9;7;4;;;75
3537943 HSM LTDA;;;;;;;;1;;;;;1
9392645 HUMANA MAGNA - SÇO PAULO (SP);;;;;;;;;1;;;;1
2273748 HUV HOSPITAL UNIVERSITARIO DE VASSOURAS (RIO DE JANEIRO);;;;;1;;;;;;;;1
2077590 IBCC;;;1;5;22;29;20;9;9;;;;95
2488892 IBR HOSPITAL - VITORIA DA CONQUISTA (BA);2;;;;;;;;;;;;2
0019402 IMPERIAL HOSPITAL DE CARIDADE;;;;;;;;1;;;;;1
2480646 IMTAVI;;;;;;2;;;;;;;2
2288338 INI FIOCRUZ;;;;1;1;;;;;;;;2
7261012 INNOVA HOSPITAIS ASSOCIADOS LTDA;1;;3;1;4;1;1;;;;;;11
6396607 INNOVA HOSPITAIS ASSOCIADOS LTDA;;;1;;;;;;;;;;1
7544529 INST DE INFECT EMILIO RIBAS II BAIXADA SANTISTA;;;;;;2;;;;;;;2
2080125 INST DO CANCER ARNALDO VIEIRA DE CARVALHO;;;;1;3;18;10;23;5;;;;60
0005428 INSTITUTO COUTO MAIA;1;;;;;;;;;;;;1
2088495 INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO;;;2;2;7;13;34;43;18;4;;;123
2028840 INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;;;45;102;147;239;177;104;31;1;;;846
6123740 INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;;;;;1;;;1;;;;;2
2078066 INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO;;;1;6;;1;;1;2;;;;11
2084368 INTERMEDICA SISTEMA DE SAUDE;8;;3;10;20;12;14;10;10;2;;;89
5074320 INTERMEDICA SISTEMA DE SAUDE SA;;;;;1;1;;;;;;;2
9459413 INTERMEDICA SISTEMA DE SAUDE - SANTO ANDRE (SP);;;;1;1;1;;;;;;;3
2088193 IRMANDADE DA STA CASA DE MISERICORD DE MOGI MIRIM MOGI MIRIM;;;;;;1;;;;;;;1
3027813 MASTER CLIN;;;;;1;2;1;;;;;;4
2825309 MEDICAL LIMEIRA;;;;1;;;1;;;;;;2
2825589 METROPOLITANA DE SARANDI;;;;;1;;;;;;;;1
2784874 MOGI MATER HOSPITAL E MATERNIDADE;;;;1;1;;;1;;;;;3
3594432 NITEROI DOR;;;;;;1;;;;;;;1
2068672 NOTRE DAME INTERMEDICA SAUDE S A;;;;;;;;;;1;;;1
5239869 NOTRE DAME INTERMEDICA SAUDE S A INDICO PA SBC;;;;;;;1;;;;;;1
2040727 PA MUN DR ATUALPA GIRAO RABELO;;;1;4;2;11;11;10;6;;;;45
2075423 PA MUN SAO MATEUS II;;;1;;;;;1;;;;;2
3037274 PRO MATRE PAULISTA;1;;1;11;4;;;;;;;;17
0021520 PRONTO ATENDIMENTO DE VILA LUZITA;;;;;;;1;;;;;;1
6591620 PRONTO ATENDIMENTO INFANTIL;1;;;;;;;;;;;;1
2073552 PRONTO ATENDIMENTO JARDIM PARAISO;;;1;;1;;;;;;;;2
2090589 PRONTO ATENDIMENTO MARIA DIRCE;1;;;;;;1;;;;;;2
7931670 PRONTO ATENDIMENTO SANCTA MAGGIORE JARDIM PAULISTA;;;;;1;1;12;22;7;4;1;;48
9472908 PRONTO ATENDIMENTO SANCTA MAGGIORE SANTANA;;;;;;3;10;15;7;5;;;40
6654665 PRONTO ATENDIMENTO SANCTA MAGGIORE TATUAPE;;;;;1;;;1;4;3;;;9
7228163 PRONTO SOCORRO CENTRAL;;;;;1;1;1;1;;;;;4
2801051 PRONTO SOCORRO CENTRAL DE DIADEMA;28;1;2;2;5;6;9;6;4;;;;63
8002428 PRONTO SOCORRO CENTRAL GUIOMAR FERREIRA ROEBBELEN;;;1;;;2;1;;;;;;4
0008087 PRONTO SOCORRO CONRADO CESARINO NUVOLINI;;;;;1;1;;;;;;;2
2063786 PRONTO SOCORRO DR AKIRA TADA;;;;;;;1;;;;;;1
0008141 PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA;;;;;;;1;;;;;;1
3828107 PRONTO SOCORRO DR OSMAR MESQUITA;;;;4;3;4;3;2;;;;;16
2024381 PRONTO SOCORRO MUNICIPAL ARNALDO DE FIGUEIREDO FREITAS;;;1;;;;;;;;;;1
9225137 PRONTO SOCORRO MUNICIPAL DE PINDAMONHANGABA;;;;;;;1;;;;;;1
2024373 PRONTO SOCORRO MUNICIPAL JOSE AGOSTINHO DOS SANTOS;3;;;2;;;3;;1;;;;9
2789353 PRONTO SOCORRO PROF DR MATHEUS SANTAMARIA GUARUJA;;;;;;1;;;;;;;1
2082209 PS E MATERNIDADE NAIR FONSECA LEITAO ARANTES;;;1;1;;1;5;4;1;;;;13
5932696 PS FENELON GUEDES PEREIRA;;;;;1;1;1;1;1;2;;;7
7682581 PS JOSE IBRAHIN;;;;8;5;2;7;3;1;1;;;27
2037971 PS MUN AUGUSTO GOMES DE MATOS;;;1;;3;5;7;7;2;1;;1;27
4050320 PS MUN DR ALVARO DINO DE ALMEIDA;6;2;16;37;60;65;59;31;16;;;1;293
2027100 PS MUN DR CAETANO VIRGILIO NETTO;15;3;8;29;33;61;70;70;38;12;1;;340
2029189 PS MUN FREGUESIA DO O 21 DE JUNHO;3;1;8;23;30;36;45;43;20;9;;;218
2082837 PS MUN PROF JOAO CATARIN MEZOMO;;;;;;1;1;1;1;;;;4
2071495 PS MUN SANTANA LAURO RIBAS BRAGA;1;;;1;4;5;15;11;4;6;;;47
2075407 PS MUN V MARIA BAIXA;5;5;11;20;30;44;38;30;11;1;;;195
6024688 PSI PRONTO SOCORRO INFANTIL DE TABOAO DA SERRA;43;2;;;;;;;;;;;45
2752093 PSM BALNEARIO SAO JOSE;;;;1;2;3;8;3;2;1;1;;21
4050282 PSM DONA MARIA ANTONIETA FERREIRA DE BARROS;6;3;3;5;17;22;21;18;9;4;1;;109
0001120 REAL HOSPITAL PORTUGUES;;;;;;;;;1;;;;1
2078465 REAL SOCIEDADE PORTUGUESA DE BENEFICENCIA;;;;;;1;3;1;;;;;5
3580822 REDE DOR SAO LUIZ S A;;;1;;;2;;1;;;;;4
2078848 SANTA CASA ANNA CINTRA;;;;;;;1;1;;;;;2
2083051 SANTA CASA DE APARECIDA;;;;;;;1;;;;;;1
5366828 SANTA CASA DE ATIBAIA;;;;;1;;1;;;;;;2
0027014 SANTA CASA DE BELO HORIZONTE;;;1;;1;;1;;1;;;;4
2135132 SANTA CASA DE CARIDADE;;;;1;;;;;;;;;1
2750988 SANTA CASA DE DRACENA - DRACENA (SP);;;;;1;;;;1;;;;2
2773333 SANTA CASA DE GUARAREMA;;;;;;1;2;;;;;;3
2791722 SANTA CASA DE JAU;;;;;1;;;1;;;;;2
2078074 SANTA CASA DE LEME;;;;;;;1;;1;;;;2
2079917 SANTA CASA DE LOUVEIRA;;;;;1;;;;;;;;1
2751747 SANTA CASA DE MAUA;3;;2;3;8;3;3;3;3;;;;28
2688433 SANTA CASA DE MISERICORDIA DE BRAGANCA PAULISTA;;;;;;3;1;1;1;1;;;7
2442612 SANTA CASA DE MISERICORDIA DE CATALAO;;;;;;;;;1;;;;1
2027186 SANTA CASA DE MISERICORDIA DE ITAPEVA;;;;;;;;1;;;;;1
2023709 SANTA CASA DE MISERICORDIA DE ITATIBA;;;;;;;;1;;;;;1
2096412 SANTA CASA DE MISERICORDIA DE JACAREI;;1;;;1;;;;;;;;2
2153882 SANTA CASA DE MISERICORDIA DE JUIZ DE FORA;;;;1;;;;;;;;;1
2748029 SANTA CASA DE MISERICORDIA DE SAO JOSE DOS CAMPOS;;;;;1;1;1;2;;;;;5
2702193 SANTA CASA DE MISERICORDIA DE UBATUBA;;;;;;;1;;;;;;1
2139200 SANTA CASA DE MISERICORDIA DO HOSPITAL SAO FRANCISCO DE ASSIS - TRES PONTAS (MG);;;1;;;;;;;;;;1
2082845 SANTA CASA DE OLIMPIA;;;;;1;;;;;;;;1
2082519 SANTA CASA DE PARAGUACU PAULISTA;;;;;1;;;;;;;;1
2146525 SANTA CASA DE PARAISO;;;;;;;;1;;;;;1
2755092 SANTA CASA DE PINDAMONHANGABA;;;;;;1;1;1;2;;;;5
2785382 SANTA CASA DE PIRASSUNUNGA;;;;;;;1;;;;;;1
2082888 SANTA CASA DE RIO CLARO;;;;;;1;;;;;;;1
2025752 SANTA CASA DE SANTOS;;;;;;1;3;;;;;;4
2080931 SANTA CASA DE SAO CARLOS;;;2;1;1;;;;1;;;;5
2688689 SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO;8;11;47;93;120;224;258;164;87;21;2;;1035
2084422 SANTA CASA DE SAO PEDRO;;;;;;;;;1;;;;1
2708779 SANTA CASA DE SOROCABA;;;;1;1;;1;;;;;;3
2699915 SANTA CASA DE VINHEDO;;;;;;;1;;;;;;1
2081377 SANTA CASA DE VOTUPORANGA;;;;;;;1;;;;;;1
2080532 SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MARTINS PRES PRUDENT;;;;;;;;1;;;;;1
2084058 SANTA CASA MISER STA CRUZ RIO PARDO;;;;;1;;;;;;;;1
2083175 SANTA CASA PIEDADE - PIEDADE (SP);;;;;1;;;;;;;;1
2078902 SANTA CASA PILAR DO SUL;;;;;;;;1;;;;;1
3719820 SANTA HELENA ASSISTENCIA MEDICA UNIDADE 12;;;;;;;;;1;1;;;2
3824802 SAO LUIZ UNIDADE MORUMBI;278;28;81;175;241;200;133;89;73;33;2;;1333
2786338 SECAO PRONTO SOCORRO DA ZONA NOROESTE SEPROS ZNO;;;;;1;;;;;;;;1
2298031 SES RJ HOSPITAL ESTADUAL ALBERTO TORRES GERAL SAO GONCALO;1;;;;;;;;;;;;1
2287250 SOCIEDADE PORTUGUESA DE BENEFICENCIA DE CAMPOS - CAMPOS DOS GOYTACAZES - RJ;;;;;1;;;;;;;;1
6938361 UNIDADE AMBULATORIAL HOSPITAL SAO CAETANO - SAO CAETANO DO SUL (SP);;;;;1;;2;;3;;;;6
2077523 UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;10;9;50;103;153;232;209;159;99;26;3;1;1054
7184689 UNIDADE DE PRONTO ATENDIMENTO CENTRAL DE CARAGUATATUBA;;;;;1;;;;;;;;1
2706245 UNIDADE DE PRONTO ATENDIMENTO DE FRANCO DA ROCHA UPA II;;;1;;1;1;;;;;;;3
7868499 UNIDADE DE PRONTO ATENDIMENTO DRA ZILDA ARNS;;;;3;6;6;4;3;2;;;;24
3474674 UNIDADE DE PRONTO ATENDIMENTO JARDIM ANGELA;;;;1;;;;4;;;;;5
0023272 UNIDADE DE PRONTO ATENDIMENTO NORTE - BELO HORIZONTE (MG);;;;1;;;;;;;;;1
7094132 UNIDADE DE PRONTO ATENDIMENTO UPA I SANTA ISABEL;;;;;;;1;;;;;;1
6986609 UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL;;;;1;;;;;;;;;1
2072033 UNIDADE MISTA DE SAUDE DE EMBUGUACU;;;;;;1;;;;;;;1
2085976 UNIDADE MISTA DE SAUDE ROSA SANTA PASIN AGUIAR;;;;;1;;1;1;;;;;3
2785188 UNIDADE MISTA DE TABOAO DA SERRA;1;;;1;1;;1;;;;;;4
5883229 UNIDADE PRE HOSPITALAR ZONA OESTE SOROCABA;;;;;;;1;;;;;;1
9156216 UNIMED GUARULHOS UNIDADE DE ATENDIMENTO;1;;;;;;;;;;;;1
2084902 UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MEDICO SJBV;;;;;;;;;1;;;;1
7053835 UPA ALVES DIAS ASSUNCAO;;;;1;;1;;;;;;;2
7522738 UPA ATALAIA DRA RITA DE CASSIA SORIO;;;;;;;;1;1;;;;2
6844596 UPA BAETA NEVES;;;;1;;2;;;;;;;3
0008494 UPA BANGU;;;;;;2;2;;;;;;4
2061562 UPA BARAO DE MAUA;;;1;;1;1;;;;;;;3
0017396 UPA BOA VISTA;;;;;;;;1;;;;;1
4050665 UPA CENTRAL;;;;;1;;1;1;;;;;3
9400109 UPA CUMBICA;2;;;;2;2;2;1;;;;;9
6535798 UPA DEMARCHI BATISTINI;;;;;;1;1;;;;;;2
7429991 UPA DR AKIRA TADA;2;1;2;11;14;19;15;3;8;;;;75
9971513 UPA ERMELINO MATARAZZO;14;8;15;29;51;62;77;72;39;14;;;381
9051422 UPA III 26 DE AGOSTO;2;1;4;25;37;46;68;30;20;3;;;236
7479387 UPA III NOVA CAMPO LIMPO;657;69;107;162;259;346;357;277;140;37;1;2;2414
9997091 UPA JACANA;;;1;4;6;5;10;10;9;3;;;48
6270131 UPA JAGUARE;;;;;;;1;;;;;;1
7152574 UPA JOSE CAMPOS BARRETO ZEQUINHA BARRETO;;;;1;1;1;1;1;;;;;5
6030807 UPA JOSE SANTOS SASSO;;;;1;;;;;;;;;1
2069032 UPA JULIO TUPY;3;1;8;21;43;56;59;60;32;13;;;296
6950051 UPA MAGINI CENTRO;;;;2;3;5;2;3;;;;;15
7134665 UPA NOVA HOSTOLANDIA MANOEL GEORGINO LOPES - HORTOLANDIA - SP;;;;1;;;;;;;;;1
6821197 UPA PAULICEIA TABOAO;;;;;;1;1;;1;;;;3
6133460 UPA PEDREIRA DR CESAR ANTUNES DA ROCHA;;;;1;1;2;1;2;;;;;7
4050169 UPA PERUS DR LUIZ ANTONIO DE ABREU SAMPAIO DORIA;29;;4;15;31;34;41;28;12;4;1;;199
6146341 UPA PIRITUBA;29;11;26;52;95;102;121;75;47;16;1;1;576
7030878 UPA RUDGE RAMOS;1;;1;5;4;6;12;1;2;;;;32
7021461 UPA SACADURA CABRAL;;;;;;;;1;;;;;1
7102429 UPA SANTA LUZIA;;;1;;;;;1;;;;;2
2752107 UPA SANTO AMARO DR JOSE SYLVIO DE CAMARGO;5;2;3;4;7;5;6;5;3;2;;;42
6916074 UPA SAO JOAO LAVRAS;1;;;;;1;;;;;;;2
6418651 UPA SAO PEDRO;;;;;1;;;;;;;;1
7169310 UPA SILVINA;;;1;;;;1;1;;;;;3
9736700 UPA TITO LOPES;6;;2;7;6;9;15;14;8;6;;;73
6607667 UPA UNIAO ALVARENGA;;;;1;;;;1;;;;;2
9505946 UPA VERA CRUZ;;;;;;;1;;;;;;1
6950043 UPA VILA ASSIS;;1;;;;;1;;;;;;2
7638698 UPA VILA SANTA CATARINA;38;3;;4;10;19;19;12;8;3;;;116
6919456 UPA ZAIRA;;;;;1;1;1;1;;;;;4
7297394 UPAE DR EMANUEL ALIRIO BRANDAO PETROLINA;;;;1;;;;;;;;;1
7299532 UPH LESTE UNIDADE PRE HOSPITALAR ZONA LESTE SOROCABA;;;;1;;;;;;;;;1
