est_internacao;id;menor01a;01a;02a;03a;04a;05a;06a;07a;08a;09a;10a;11a;12a;13a;14a;15a;16a;17a;18a;19a;20a;21a;22a;23a;24a;25a;26a;27a;28a;29a;30a;31a;32a;33a;34a;35a;36a;37a;38a;39a;40a;41a;42a;43a;44a;45a;46a;47a;48a;49a;50a;51a;52a;53a;54a;55a;56a;57a;58a;59a;60a;61a;62a;63a;64a;65a;66a;67a;68a;69a;70a;71a;72a;73a;74a;75a;76a;77a;78a;79a;80a;81a;82a;83a;84a;85a;86a;87a;88a;89a;90a;91a;92a;93a;94a;95a;96a;97a;98a;99a;100a;101a;102a;103a;104a;105a
2081288 HOSPITAL DO CORACAO;h59;1;;;;;;;;;;;;;;2;;;1;;;1;1;1;;2;;3;3;2;1;3;4;3;2;6;4;8;11;7;3;4;6;11;11;8;5;7;10;8;13;8;15;11;10;10;9;13;13;20;14;18;11;16;21;8;18;19;13;14;14;13;15;18;11;13;17;18;14;14;10;9;11;12;7;12;6;7;7;12;5;8;3;3;4;8;6;;;;3;1;;1;;;
2077450 HOSP MUN DR JOSE SOARES HUNGRIA;h60;6;1;3;1;2;;3;1;;1;2;2;;;2;2;;3;1;5;;;3;5;5;1;;4;;4;2;2;3;4;3;4;4;8;10;5;11;4;6;12;11;10;11;11;9;4;5;9;11;11;10;9;13;13;13;16;8;20;17;18;17;10;21;13;20;16;15;15;10;13;12;11;10;16;12;12;13;7;11;9;6;10;7;7;6;5;3;4;7;5;2;3;;;;1;;;;;;
6283993 HOSPITAL LEFORTE;h61;20;22;15;4;6;5;4;3;9;4;3;1;4;1;;3;1;2;5;1;8;1;1;3;6;7;9;8;6;6;8;10;18;13;7;17;12;18;12;15;9;11;12;11;17;12;9;10;5;7;12;10;9;10;11;10;7;11;6;5;8;8;4;2;6;6;10;6;9;8;1;5;8;4;5;3;4;8;5;4;1;5;9;9;4;2;4;3;3;8;5;2;4;;;;1;2;1;;;1;;1;;
2079089 HOSP 9 DE JULHO;h62;;1;;4;;;;;;;;;;;;;;;;;;;2;1;2;4;2;1;2;4;2;4;2;4;3;6;5;6;4;5;3;7;5;6;4;4;3;7;7;5;10;9;6;10;4;19;15;13;16;13;13;7;14;11;19;7;14;8;4;13;22;12;10;9;14;7;10;7;10;5;13;14;11;13;20;15;8;12;14;12;7;7;8;5;8;4;4;4;2;;;;;;;
2080818 HOSP SAMARITANO;h63;3;2;1;1;1;;1;1;;1;2;;2;;;1;;;2;2;1;;3;3;3;2;2;1;1;1;3;4;2;2;7;6;8;5;9;12;14;18;8;10;9;6;12;9;14;11;10;13;12;16;11;8;15;9;13;17;10;7;14;3;14;19;9;7;13;7;6;9;10;10;5;10;13;15;6;6;5;8;3;6;7;10;5;7;9;5;8;7;3;3;2;3;2;2;;;1;1;;1;;
2077493 HOSPITAL GERAL DE SAO MATEUS SAO PAULO;h64;33;10;11;6;7;12;10;10;7;5;4;5;4;1;1;1;1;1;2;2;1;1;4;2;1;6;2;;3;3;4;4;10;4;3;6;5;5;4;5;6;10;1;9;8;8;3;4;6;9;9;15;10;7;5;7;8;11;12;9;9;10;10;6;4;13;8;9;5;11;9;6;10;3;10;4;9;3;9;13;6;6;4;3;8;6;3;8;2;1;5;3;3;2;2;2;1;;;;;;;;;
7992890 HOSPITAL DIA REDE HORA CERTA DA CAPELA DO SOCORRO;h65;;;;;;;;;;;;;;;;1;;;1;1;3;4;1;5;6;3;1;2;4;1;3;5;2;8;7;3;7;10;13;9;15;16;11;8;11;18;12;8;13;13;8;9;9;12;14;20;15;13;13;13;17;9;14;14;16;15;12;18;12;9;11;8;3;10;6;7;4;3;9;4;6;4;3;4;1;2;2;1;4;1;4;2;2;;;;;;;;;;;;;
2089580 HOSPITAL SANTA PAULA;h66;;;;;;;;;;;;;1;;;1;;;;;1;2;5;3;;2;5;7;4;5;5;3;2;10;12;12;11;11;8;9;11;12;11;14;10;18;13;11;5;10;5;17;9;7;17;14;17;8;5;9;7;11;13;6;8;6;7;9;9;3;8;3;10;7;11;7;7;7;5;3;5;4;9;6;8;7;3;6;7;5;6;3;5;2;7;1;;2;2;;;;;;;
3367371 HOSPITAL DA LUZ;h67;17;17;18;6;8;5;6;3;4;3;2;;2;1;1;1;1;1;;1;3;;1;3;1;2;3;1;4;3;7;7;5;6;9;4;10;10;9;6;5;11;8;10;6;14;7;11;7;10;12;16;10;11;10;9;7;10;17;13;9;9;7;8;5;11;9;3;9;6;7;4;2;4;5;2;5;5;3;2;4;7;2;3;4;1;1;1;3;3;3;;;2;;1;1;;1;;;;;;;
2082624 HOSP STA CRUZ;h68;;;;;;;;;;;;;;;;;;1;;;1;1;;1;3;;3;1;3;5;4;3;2;3;2;2;4;5;6;4;4;6;6;6;6;5;7;11;10;9;5;9;10;14;12;6;14;10;7;9;10;7;10;8;12;7;2;15;14;3;9;15;6;5;11;10;10;12;10;9;9;16;9;8;11;12;13;6;3;6;4;6;5;4;7;2;2;2;2;;2;;;;;
2078457 HOSP STA VIRGINIA;h69;;;;;;;;;;;;;;;;;;;;1;1;;5;3;2;4;2;1;2;2;3;2;3;3;9;6;9;10;9;10;7;8;8;8;15;9;9;11;9;13;17;13;11;13;15;9;12;9;12;11;13;10;18;13;5;5;5;7;5;10;10;8;5;6;7;6;2;5;6;6;5;5;3;3;5;7;7;3;6;3;6;4;7;1;1;1;2;2;;;1;1;;;;
2079445 HOSPITAL SANTA ISABEL;h70;;;;;;;;;;;;;;;1;;1;1;1;3;3;2;3;1;7;6;7;7;6;11;5;8;12;6;4;7;8;6;5;9;6;10;5;5;5;5;9;7;7;7;7;5;9;8;7;7;7;6;4;7;5;15;8;7;6;7;8;9;4;16;6;4;12;7;8;2;9;9;11;12;5;5;5;9;4;5;4;5;10;7;8;6;5;3;5;5;1;4;6;;;;;;;
3039420 HOSPITAL SAO CAMILO SANTANA;h71;4;5;7;1;5;3;;;2;;2;2;;2;;;1;1;1;;;;1;4;1;;2;4;3;2;9;9;4;4;8;3;9;6;13;6;6;9;3;8;10;16;2;8;7;8;6;14;9;5;5;7;12;7;10;14;12;5;11;6;9;5;4;6;5;7;7;8;7;7;9;8;9;10;7;6;2;6;7;8;6;6;6;6;9;2;5;5;7;6;3;3;1;2;1;;;;;;;
2752077 HOSP DO SERV PUB MUNICIPAL HSPM;h72;9;7;3;1;;;1;5;3;1;4;2;2;;;;;2;;;;;1;;2;3;5;2;2;1;2;1;1;2;2;3;9;7;4;3;5;4;5;3;4;7;4;7;6;7;6;3;7;9;7;12;13;9;17;13;7;13;16;8;10;17;4;12;14;11;16;6;14;6;11;8;9;10;11;6;6;5;4;7;5;3;7;3;4;1;1;1;;1;1;3;;1;;;;1;;;;
2089602 HOSP MAT DO SEPACO;h73;17;8;6;3;2;2;2;1;1;1;;;1;;3;1;2;;2;3;4;2;2;4;1;3;3;4;7;11;4;5;4;8;9;10;10;5;11;6;3;7;4;10;4;4;5;6;5;7;3;8;1;3;;8;5;5;6;9;3;8;8;7;8;8;3;6;7;10;7;5;10;2;5;4;9;6;8;6;11;6;12;10;6;7;5;3;12;7;4;8;3;7;2;3;;3;;;;;;;;
2078082 HOSPITAL E MATERNIDADE METROPOLITANO;h74;8;10;5;2;1;3;1;2;;1;1;1;2;3;;1;2;;3;1;4;1;1;4;5;2;2;3;4;5;5;6;7;7;5;12;5;8;8;15;12;8;9;11;10;11;11;6;19;8;9;13;11;8;9;13;12;3;7;7;7;7;3;9;5;9;3;7;6;7;9;6;;6;1;3;5;5;4;4;5;1;1;11;4;3;6;;1;3;1;3;1;1;2;1;3;;;;;;;;;
0127868 HOSPITAL ESTADUAL DE CAMPANHA COVID 19 IBIRAPUERA;h75;;1;;;;;;;;;;;;;;;;;1;;;1;1;1;2;2;2;1;1;4;5;5;6;5;5;9;10;5;8;7;10;7;11;9;9;12;8;10;10;15;12;9;3;14;12;10;14;15;9;13;18;11;15;9;16;10;16;11;11;10;4;8;5;9;2;6;5;10;1;4;5;4;2;1;2;2;;1;;2;;;;;;;;;;;;;;;;
2084139 HOSP MUN DR BENEDICTO MONTENEGRO;h76;2;2;;1;1;;;1;;;;;;;;2;;;;1;1;;4;1;6;1;1;3;2;;3;2;3;2;2;7;6;4;6;4;3;6;7;7;7;4;4;4;13;6;10;5;9;6;10;9;12;8;9;8;13;10;8;6;6;5;8;9;15;13;9;8;5;5;13;6;5;8;6;9;6;5;5;7;6;6;7;13;1;6;6;2;2;4;1;3;2;1;;;;;;;;
2091801 HOSPITAL CENTRAL DE GUAIANASES;h77;7;3;4;3;1;1;2;;6;1;2;1;;;2;2;2;3;3;3;1;7;3;7;6;9;4;16;6;8;7;15;9;9;15;14;11;14;19;15;10;8;9;15;13;7;6;10;7;7;10;14;13;12;10;5;6;7;3;5;2;1;3;5;5;2;3;1;3;1;1;3;1;;2;1;;1;;;2;4;2;;1;;;;1;;;;;;;;;;;;;;;;;
2027100 PS MUN DR CAETANO VIRGILIO NETTO;h78;3;2;2;1;3;;;;;2;2;4;;;;2;1;1;;;1;;3;2;3;4;3;;5;3;2;2;2;6;3;2;3;2;3;4;6;3;5;3;6;6;10;5;9;6;11;11;6;5;6;;7;9;7;10;9;12;12;11;7;12;6;12;5;5;13;18;10;8;13;8;6;8;6;8;12;4;8;6;7;2;4;6;5;;1;3;1;1;;1;1;1;2;;;;;;;
7676484 HOSPITAL SANTA CLARA;h79;6;6;2;1;2;1;;;2;;2;;;;;;;1;;1;;;;;;;;2;;;1;2;;2;;4;4;5;3;2;3;2;3;5;8;;6;4;3;6;7;4;3;5;2;7;4;7;11;5;12;12;6;10;12;9;14;12;11;11;13;8;9;5;13;7;9;12;12;11;11;10;14;4;5;6;7;7;6;6;3;4;4;7;1;3;2;1;1;1;;;;;;
2080788 HOSP MUN V NHOCUNE ALEXANDRE ZAIO;h80;1;1;1;1;1;;1;;;1;1;;1;;1;;;1;1;1;;1;1;;1;2;2;1;1;2;2;1;3;5;2;4;1;4;2;1;5;3;2;1;5;2;4;6;3;3;5;6;6;2;4;5;3;5;9;10;6;11;8;11;10;1;12;7;4;9;14;12;6;12;11;12;7;10;9;5;6;9;10;9;3;6;9;6;11;6;3;5;5;3;4;1;2;1;2;;1;;;2;;
2786680 HOSP MUN FERNANDO MAURO PIRES DA ROCHA;h81;45;27;11;17;10;4;6;10;9;5;7;5;3;3;2;3;2;;;2;1;1;;6;3;2;3;5;1;3;3;2;3;3;1;3;4;1;2;3;1;1;4;3;;3;4;;3;1;4;7;5;4;4;3;5;6;2;2;6;3;2;4;5;5;6;2;5;2;3;3;6;6;7;3;1;3;2;7;7;1;2;5;2;3;3;3;;3;1;;1;3;;;1;;;;;;;;;
2082314 HOSP ALBERT SABIN;h82;;;;;;;;;;;;;;1;1;;2;1;1;2;3;1;3;;7;4;5;1;5;6;3;12;4;4;4;5;6;7;6;4;13;6;5;6;8;11;11;9;6;7;12;6;6;14;19;7;9;8;6;2;4;5;2;4;7;3;8;4;7;;2;3;6;2;3;3;2;1;7;6;5;2;1;4;4;3;2;4;4;2;2;3;4;5;;;;;;1;;;;;;
3309959 HOSPITAL BOSQUE DA SAUDE;h83;3;1;1;;3;;;2;1;1;;;1;;;;1;3;;;2;3;2;2;1;;2;3;1;;5;;4;4;3;2;9;8;8;5;6;5;9;6;5;8;6;9;19;10;8;8;10;2;9;9;13;5;8;7;9;4;4;9;8;7;8;8;5;3;2;6;3;1;3;5;1;2;2;3;3;7;3;1;5;5;6;5;4;3;2;4;2;1;;2;1;;;;1;;;;;
2089610 HOSP EDMUNDO VASCONCELOS;h84;8;7;1;4;2;2;1;;;;;;;1;2;;1;2;2;;1;3;1;1;1;1;1;1;3;5;4;4;11;5;8;2;3;3;13;11;5;6;8;4;8;7;6;8;5;9;5;6;6;10;3;7;11;5;4;5;2;3;7;3;5;9;5;5;3;4;6;2;6;4;1;8;3;7;4;3;3;3;4;3;1;3;3;3;7;4;1;1;3;4;3;1;;1;1;;1;;1;;;
2089653 HOSP IGUATEMI;h85;;;;;;;;;;;;;;;1;1;;;;1;2;1;1;;1;4;2;1;2;2;2;4;5;7;4;5;5;4;3;4;8;4;8;7;8;9;11;9;7;14;6;16;13;5;6;12;9;12;3;5;3;6;6;8;12;3;6;8;6;3;7;5;4;5;3;5;3;6;4;4;4;6;5;4;2;3;2;5;;1;2;2;1;;2;3;;;;;1;;;;;
4050169 UPA PERUS DR LUIZ ANTONIO DE ABREU SAMPAIO DORIA;h86;6;7;3;1;5;3;2;1;1;;2;1;;;;1;2;5;1;4;1;;3;;1;5;2;4;2;;;4;1;1;3;3;4;3;3;3;;6;7;7;3;5;5;5;6;3;5;8;5;7;9;6;4;5;14;11;5;6;5;5;6;9;9;8;7;7;7;12;6;4;6;2;6;5;8;2;6;5;3;5;3;5;5;2;3;2;;1;;2;1;2;2;1;;;;;;;;
2080168 HOSPITAL DA CRIANCA;h87;50;76;38;34;17;23;17;24;12;16;16;12;9;12;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2082829 HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;h88;19;5;2;4;4;4;2;2;;1;1;2;1;;3;1;1;;3;2;1;1;;2;1;3;2;1;2;4;2;1;2;4;1;4;1;5;3;3;4;3;5;1;4;4;4;3;5;4;6;4;;5;6;3;5;5;7;3;4;4;8;11;7;6;7;7;8;3;3;11;3;3;8;4;6;5;5;7;10;4;4;1;8;4;3;2;5;2;4;3;1;3;1;1;2;;;;;;;;;
2075407 PS MUN V MARIA BAIXA;h89;3;;;1;;;;1;1;;;;1;3;2;;;1;;;2;2;;1;1;1;1;1;3;3;3;1;5;2;2;4;3;3;5;5;3;8;5;8;3;4;8;3;5;5;1;5;6;4;15;11;6;13;7;10;8;6;9;7;5;9;12;8;4;7;12;9;6;5;5;7;6;3;3;2;2;3;2;6;5;4;3;1;2;2;1;1;1;;1;;;;;;;;;;;
9736700 UPA TITO LOPES;h90;3;3;2;;;;1;;;;2;1;;1;;1;;2;;1;;1;;2;3;1;1;1;3;1;;1;3;5;2;2;6;3;3;1;6;4;4;5;4;4;6;4;7;3;5;4;5;3;8;5;9;9;8;5;9;8;9;4;9;5;10;9;6;6;2;10;7;10;8;4;6;4;6;5;5;8;2;7;4;5;2;2;6;5;3;2;1;;2;;;1;;;;;;;;
0127876 HOSPITAL ESTADUAL DE CAMPANHA COVID 19 BARRADAS;h91;;;;;;;;;;;;;;;;;;1;;1;2;;1;2;;;;2;1;3;2;2;1;1;3;1;3;7;4;4;5;4;3;5;6;4;6;4;9;7;7;6;8;8;11;5;9;7;7;7;8;8;9;12;6;15;8;9;3;9;8;15;8;7;3;5;9;6;5;5;6;3;1;1;3;3;;2;3;2;1;;;;;;;;;;;1;;;;
7638698 UPA VILA SANTA CATARINA;h92;15;10;6;1;6;3;5;5;4;5;2;2;;1;;;;;1;1;2;1;1;1;1;2;1;4;1;1;4;2;2;2;1;;2;2;2;3;3;3;3;6;5;6;3;4;;4;5;3;3;3;2;3;3;2;6;2;3;10;3;6;2;4;4;11;5;8;7;6;6;7;8;5;6;3;2;6;7;8;2;3;1;3;1;7;1;3;3;1;2;1;4;2;1;1;;;;1;;;;
9735372 HOSPITAL VILA NOVA STAR;h93;;;;;;;;;;;;;;;;;;;1;1;1;;2;3;1;1;1;2;3;1;6;1;4;4;6;3;9;;6;5;10;7;5;7;6;7;5;8;6;3;6;6;6;2;8;11;5;5;7;2;5;6;7;8;2;5;8;5;5;5;4;11;10;7;5;5;4;4;6;2;4;2;2;6;;2;2;2;3;2;2;2;3;3;1;;;1;;;;;;;;
3464555 CENTRO MEDICO PMESP;h94;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;1;3;6;6;1;3;4;1;7;1;5;1;5;7;9;14;9;15;7;11;15;12;10;15;12;8;7;9;5;5;12;6;6;3;5;1;8;12;2;1;2;2;3;1;;2;3;3;3;7;;10;5;1;2;1;1;2;;1;2;;;2;;;;1;;;;;;;;1;;
2088495 INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO;h95;5;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;2;;;2;1;1;1;3;1;1;4;3;;1;2;3;4;5;2;4;2;3;3;6;7;5;4;11;2;8;7;6;10;9;9;14;8;12;8;15;11;11;6;13;8;8;10;7;5;10;7;3;2;8;1;3;7;2;3;1;1;1;;;;;1;1;;;;;;
2077531 A C CAMARGO CANCER CENTER;h96;;;;;;;;;;;;;;;;;;;;;1;;;;1;;2;5;;2;2;1;1;1;;2;3;4;5;5;3;;4;1;2;5;4;3;3;4;5;1;7;2;6;10;1;6;6;9;8;4;6;7;10;10;11;15;8;13;4;8;10;9;7;11;6;6;4;3;9;7;3;5;6;5;2;3;5;1;;2;1;;;;;;;;;;;;;
2078597 HOSP STA HELENA;h97;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;1;3;;3;;4;4;5;3;4;1;2;4;7;4;9;5;5;3;3;6;7;4;5;5;6;9;9;6;5;10;6;7;6;8;2;4;8;4;3;6;3;2;8;4;5;5;5;2;6;;4;9;6;7;4;7;6;9;5;;4;3;2;5;3;2;2;2;3;1;1;;;;;;;;
2071495 PS MUN SANTANA LAURO RIBAS BRAGA;h98;;;;;2;;1;1;1;;;;;;;;;;;1;;1;1;4;1;6;;1;2;1;1;;2;6;3;2;2;4;2;1;5;4;3;6;3;2;1;1;4;7;4;6;2;5;9;9;5;7;7;6;4;5;8;3;10;4;3;4;4;4;5;8;7;6;7;5;1;5;8;5;4;5;3;2;1;2;1;3;1;5;2;4;2;1;4;1;1;;;;1;;;;;
9997091 UPA JACANA;h99;8;;2;1;;;2;;;;;;1;1;;;;;;2;1;1;;;;;2;2;;;;2;4;3;2;3;2;;2;2;4;1;2;2;5;6;2;6;3;1;4;2;7;2;7;3;11;4;11;10;4;4;5;9;10;5;3;5;10;4;3;4;3;4;5;6;4;5;7;1;7;2;9;1;3;3;;5;4;3;3;1;8;1;2;2;3;;;;;;;;;
0158119 COMPLEXO HOSPITALAR MUNICIPAL SOROCABANA;h100;;;;;;;;;;;;;;;;;;;1;1;;;2;;;1;1;2;2;1;1;1;1;1;1;2;1;3;5;5;4;1;4;2;6;5;3;5;4;2;2;10;1;5;4;9;4;10;6;6;5;14;7;11;7;5;9;10;3;12;10;5;8;2;3;4;2;1;7;3;4;2;1;6;2;2;2;4;2;1;3;;1;;;;;;;;;;;;;
2076896 HOSP SAO LUIZ GONZAGA;h101;24;12;7;7;11;8;8;7;8;4;4;1;3;;;;;;1;1;3;;;1;;1;1;2;3;1;1;2;3;1;2;1;3;2;1;1;2;3;1;;1;3;1;2;;2;;3;1;1;3;5;2;2;3;8;5;4;5;3;3;5;4;2;1;4;6;10;6;1;3;1;3;3;3;2;5;2;2;3;2;2;2;3;3;2;;;;1;;1;;;;;;;;;;
7711980 HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO;h102;11;6;1;;;2;;;1;1;1;1;1;;;2;;;1;;;1;;1;;2;1;4;;2;2;;;3;;1;2;1;3;4;1;4;1;1;;1;1;4;4;2;3;1;4;2;6;6;4;6;11;3;9;7;6;12;5;6;5;6;10;11;5;7;7;9;6;10;1;5;3;6;4;4;2;1;2;1;;2;3;;;2;;1;;;;;;;;;;;;
4050282 PSM DONA MARIA ANTONIETA FERREIRA DE BARROS;h103;;3;1;1;1;;2;;;;;;;1;;;;1;;2;1;;;1;1;;1;2;1;;3;2;;3;4;4;;2;4;2;5;7;2;3;6;3;2;6;6;5;3;5;6;6;7;9;5;10;3;4;8;4;6;6;7;5;4;1;5;4;5;11;6;4;6;2;6;4;4;3;2;3;4;;4;3;2;1;1;;;1;1;1;2;1;2;;;;1;;;;;
2078627 DAY HOSPITAL DE ERMELINO MATARAZZO;h104;1;;;;;;;;;;;;;1;;;1;1;1;2;2;3;5;;3;5;3;4;1;3;5;6;3;4;3;5;7;4;13;5;5;8;9;5;12;11;6;7;11;7;10;4;5;8;6;5;5;6;6;2;5;2;4;1;1;4;4;2;;;;1;3;2;;;1;3;1;2;1;2;;1;1;1;1;;;1;1;;;;;;;;;;;;;;;
2084376 HOSP PAULISTANO;h105;;;;;;;;;;;;;;;;;2;;;1;1;;2;2;2;1;1;2;1;2;2;1;1;2;2;3;2;2;5;3;4;2;3;5;2;5;2;2;3;2;1;5;2;3;4;3;1;4;7;3;5;4;3;4;8;8;3;7;9;6;3;9;7;6;4;3;8;7;7;4;5;5;4;5;5;3;1;5;4;1;;2;4;3;4;2;1;1;;;;;;;;
9051422 UPA III 26 DE AGOSTO;h106;1;;;1;;1;;;;1;;;1;1;;;;;;1;;1;1;1;;2;1;1;2;1;2;2;5;;2;1;3;2;2;5;2;3;2;2;4;3;;6;5;1;5;4;8;5;2;10;3;3;6;3;4;3;6;6;8;4;3;7;9;5;2;5;6;5;4;4;3;2;8;5;6;2;4;6;6;9;2;3;;1;2;2;1;3;;1;1;1;;;;;;;;
4050320 PS MUN DR ALVARO DINO DE ALMEIDA;h107;1;1;;;;;1;;;1;;;;1;;2;;;;;;2;2;1;2;;1;4;4;1;4;5;3;2;3;4;4;2;4;5;3;4;7;8;2;8;3;5;5;5;11;3;8;5;5;8;6;7;7;7;6;3;4;1;2;2;5;6;8;8;4;2;4;7;1;3;1;3;3;1;2;1;3;;;3;1;1;1;;;1;1;;1;;;1;;;;;;;;
0102040 HOSPITAL DE CAMPANHA COVID 19 SMS SP PACAEMBU;h108;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;2;;;2;2;1;2;1;3;4;4;7;5;7;4;4;6;5;10;5;6;5;9;6;12;4;5;3;5;9;8;7;9;5;7;7;4;13;4;5;9;7;5;6;6;4;2;;2;4;2;1;1;1;2;;;;;1;1;;;1;;;;;;;;;;;;;;;
2688611 HOSP SAO LUIZUNIDADE I;h109;7;;;;;;;;;;;;;;1;;3;;;;1;;2;1;4;3;3;5;2;4;6;4;2;10;8;5;6;4;6;11;;2;2;4;3;3;5;4;3;3;4;3;4;4;4;6;5;2;4;10;2;4;1;1;2;4;4;4;6;4;1;3;5;2;3;5;3;5;2;3;;4;2;3;;;6;2;;2;1;1;1;1;1;1;1;1;;;;;;;;
0113123 HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 35;h110;;;;;;;;;;;;;;;;;;;;1;;1;;1;3;2;3;2;3;;3;3;3;1;2;4;1;2;3;6;7;1;7;9;6;1;5;2;4;3;7;6;9;6;7;7;9;6;2;3;7;4;6;6;10;8;8;5;8;7;5;4;1;3;3;3;4;2;3;2;1;1;1;;;1;1;;2;;;;;;;;;;;;;;;;;
2075962 HOSP DA STA CASA DE STO AMARO;h111;;1;;;;;;;;;;;;;;;;;;;1;;1;;2;1;;;1;1;1;1;3;;1;1;2;;2;4;1;;2;3;2;4;2;7;2;3;2;6;4;5;3;2;7;5;3;6;3;5;6;4;6;4;5;9;3;7;3;8;8;1;8;4;;2;2;5;5;6;5;6;6;4;2;3;5;4;1;6;5;1;2;2;3;;1;2;;1;;;;
5907594 HOSP SAO LUIZ ANALIA FRANCO;h112;5;3;2;;1;;;;;1;;;;;;;;;;;2;2;;2;1;;1;;1;1;2;4;2;2;1;4;6;8;4;4;6;2;7;5;4;6;6;7;2;2;4;3;5;5;3;4;8;5;9;2;2;3;7;3;3;6;2;3;4;4;2;3;3;2;1;1;;4;2;4;2;3;5;2;2;3;5;4;4;3;3;1;2;2;1;;;;;;;;;;;
2069032 UPA JULIO TUPY;h113;;3;2;;1;2;2;2;;1;1;1;;;1;;;;1;;1;1;3;1;2;2;1;;;3;1;1;1;5;1;2;;5;4;1;1;2;2;1;;;2;3;3;4;4;5;6;5;5;4;6;3;4;5;5;8;1;7;7;6;8;4;4;5;6;2;4;8;3;;2;2;6;5;3;7;6;4;1;1;1;1;5;;1;2;2;3;1;;;;2;1;2;;;;;
2066572 HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I SP;h114;;;;;;;;;;;;;;;;;;;;1;1;;2;;;1;2;;1;1;3;1;1;1;2;;1;;6;3;1;;6;2;5;2;5;3;6;;4;5;7;2;4;5;6;5;4;7;6;10;;7;8;4;11;4;5;4;8;8;5;5;;5;4;11;7;2;3;2;6;2;2;1;1;3;1;3;2;;2;1;1;;;;;;;;;;;
2029189 PS MUN FREGUESIA DO O 21 DE JUNHO;h115;2;1;;;;;4;1;1;;;;;;1;;;;;2;;1;3;1;1;1;3;1;2;1;1;2;2;;1;1;2;2;3;1;2;3;3;4;3;1;5;2;5;6;4;3;4;4;2;9;5;4;5;7;5;2;4;3;3;7;3;3;4;3;6;3;9;3;5;1;6;5;6;7;3;1;5;2;3;;4;2;3;2;3;1;1;2;1;1;;;;1;;;;;;
2077469 HOSP DOM ANTONIO DE ALVARENGA;h116;;;;;;;;;;;;;;;;;;;1;;;;;2;1;;1;3;;1;4;;1;4;4;1;3;;5;2;4;1;2;1;1;;3;1;3;4;2;3;;4;5;3;4;5;2;7;2;4;1;5;;3;1;5;4;7;7;4;3;3;10;6;5;6;8;5;4;8;2;3;3;2;6;2;4;4;4;2;3;3;2;2;1;1;1;;;;;;;
2080796 HOSP MAT SAO CRISTOVAO;h117;;1;1;;;1;;;;;;;;;;1;;;;;;;;1;;1;;;;1;;3;2;;3;2;;1;3;2;2;1;1;1;2;1;6;2;2;2;;4;1;1;2;1;3;3;3;2;2;1;2;2;3;6;2;1;2;2;5;6;2;3;4;4;7;4;4;2;5;6;3;11;5;6;5;4;8;6;4;4;6;1;2;3;1;1;2;;;;;;1;
2082330 HOSPITAL NOSSA SENHORA DE FATIMA;h118;;3;3;1;1;2;2;2;2;1;;2;;;;1;;;1;1;1;1;1;1;;1;3;3;1;1;3;2;3;5;2;4;3;5;6;1;6;2;7;4;3;2;7;3;1;3;8;4;3;4;7;3;5;3;4;4;4;3;1;2;4;3;1;4;1;2;1;3;;4;2;3;1;;1;1;3;4;;4;1;2;;;;;1;;1;;;;;;;;;1;;;;
7174691 HOSPITAL SANCTA MAGGIORE ALTO DA MOOCA;h119;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;3;;1;3;4;3;2;4;6;3;4;4;3;4;2;4;8;9;6;4;6;8;6;5;7;2;7;9;8;7;7;7;4;7;4;5;8;6;3;9;;2;;;;;;1;;;
3047822 HOSPITAL SAO BERNARDO;h120;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;2;3;4;2;1;2;1;5;4;4;2;7;4;2;3;4;2;7;9;3;5;7;8;8;5;3;4;4;9;5;6;4;5;2;8;1;2;5;2;3;6;4;4;;1;1;2;;2;2;;2;3;;1;2;1;;;2;;;;;;;;;;;;;
2792176 HOSPITAL GERAL DE ITAPECERICA DA SERRA;h121;5;7;2;3;1;1;1;1;2;2;1;;1;;;1;;;;1;;1;3;;2;;1;;1;1;;2;2;;1;;1;2;5;;2;3;2;3;2;3;1;2;2;4;3;2;3;3;2;6;4;4;1;1;3;2;4;7;2;2;7;7;7;8;4;2;2;4;3;2;1;3;3;2;3;;;2;1;;3;2;2;4;;;;1;;;1;;1;;1;;;;;
2823209 HOSPITAL E PRONTO SOCORRO PORTINARI;h122;6;4;2;;;;;;;;;;;;;;;;;;1;;;;3;;1;;2;1;2;2;6;2;3;3;5;2;2;7;6;4;6;8;1;2;8;2;5;3;1;5;2;3;4;5;7;5;9;5;4;3;7;1;4;1;5;1;;1;1;2;;1;1;4;2;2;2;;;1;1;1;;;;2;;1;;3;1;;;;;;;;;;;;;
