estab_internacao;zero_nove;dez_nove;vinte_nove;trinta_nove;quarenta_nove;cinquenta_nove;sessenta_nove;setenta_nove;oitenta_nove;noventa_nove;cem_mais;ignorada;total
6563570 HOSPITAL NEXT RUDGE RAMOS;;;;;;;1;;;1;;;2
2083248 HOSPITAL NEXT SAO BERNARDO;;;1;;6;5;3;4;3;1;;;23
2089777 HOSPITAL NIPO BRASILEIRO;1;;1;8;8;23;32;21;36;17;4;;151
2080052 HOSPITAL NOSSA SENHORA APARECIDA;;;;;;;1;1;2;;;;4
2257548 HOSPITAL NOSSA SENHORA APARECIDA DE CAMAQUA - CAMAQUA (RS);;;;;;;1;;;;;;1
2082330 HOSPITAL NOSSA SENHORA DE FATIMA;;;1;2;5;8;7;15;13;2;;;53
9768688 HOSPITAL NOVA NEOMATER;;;;1;2;1;2;2;3;2;;;13
2078228 HOSPITAL NOVO ATIBAIA;;;;;;1;1;1;;;;;3
9744665 HOSPITAL ORION - GOIANIA - GO;;;;;;;;1;;;;;1
2076950 HOSPITAL OSWALDO CRUZ;;;;;8;17;31;56;91;49;1;;253
7898843 HOSPITAL PANAMERICANO - RIO DE JANEIRO - RJ;;;;;;2;;;;;;;2
2210924 HOSPITAL PHILADELFIA;;;;;;;;1;;;;;1
2078767 HOSPITAL PITANGUEIRAS;;;;;1;;1;1;1;;;;4
2798220 HOSPITAL PREVINA;;;2;5;11;31;20;15;7;3;;1;95
9357661 HOSPITAL PROMED - GOIANIA (GO);;;;;1;2;;;;;;;3
2792141 HOSPITAL REGIONAL DE COTIA;;;;2;2;3;2;8;4;;;;21
2081601 HOSPITAL REGIONAL DE FRANCA - FRANCA - SP;;;;;;;;1;;;;;1
2078511 HOSPITAL REGIONAL DE ILHA SOLTEIRA - ILHA SOLTEIRA (SP);;;;;;;;1;;;;;1
6414702 HOSPITAL REGIONAL DE SANTO ANTONIO DE JESUS;;;;;1;;;;;;;;1
0008052 HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO;;1;3;4;4;15;29;19;6;2;;;83
9141839 HOSPITAL REGIONAL JOSE ALENCAR - UBERABA - MG;;;;;;;1;;1;;;;2
2091313 HOSPITAL REGIONAL SUL SAO PAULO;10;;5;14;28;57;123;109;56;10;;;412
3242587 HOSPITAL REGIONAL UNIMED - FORTALEZA (CE);;;;;;;;1;;;;;1
9490604 HOSPITAL SAGRADA FAMILIA;;;;1;1;1;4;5;4;1;;;17
9554157 HOSPITAL SALVALUS;2;5;9;80;99;190;317;343;185;79;1;;1310
2023148 HOSPITAL SAMARITANO DE CAMPINAS;;;;;;;1;;1;;;;2
2078732 HOSPITAL SAMARITANO DE SOROCABA;;;;;;;1;;;;;;1
9684948 HOSPITAL SAMARITANO PAULISTA;;;2;7;20;29;37;69;78;30;2;;274
7174691 HOSPITAL SANCTA MAGGIORE ALTO DA MOOCA;;;;;1;9;44;78;80;29;2;;243
9131434 HOSPITAL SANCTA MAGGIORE HIGIENOPOLIS;;;1;1;6;28;135;271;295;128;7;;872
7174705 HOSPITAL SANCTA MAGGIORE ITAIM;;;;;;2;8;19;34;4;;;67
6618332 HOSPITAL SANCTA MAGGIORE LIBERDADE;;;;;;;1;;1;;;;2
7174713 HOSPITAL SANCTA MAGGIORE MOOCA;;;;1;2;21;109;189;194;68;;;584
7174721 HOSPITAL SANCTA MAGGIORE PARAISO;;;;2;4;63;288;515;670;326;12;1;1881
7357079 HOSPITAL SANCTA MAGGIORE PINHEIROS;;;1;;8;34;138;246;251;123;5;;806
7435568 HOSPITAL SANCTA MAGGIORE SAO BERNARDO;;;;;;;1;3;4;;;;8
9620494 HOSPITAL SANTA ANA;;;3;3;6;15;31;36;26;13;;;133
2149990 HOSPITAL SANTA CASA DE MONTES CLAROS;;;;;;;1;;;;;;1
7676484 HOSPITAL SANTA CLARA;;;2;9;11;38;91;125;110;44;;;430
3528596 HOSPITAL SANTA HELENA;;;;2;3;9;10;15;13;6;;;58
2081539 HOSPITAL SANTA HELENA ASSISTENCIA MEDICA SB DO CAMPO;;;;2;;;;;;;;;2
2558246 HOSPITAL SANTA ISABEL;;;;;;;1;;;;;;1
2079445 HOSPITAL SANTA ISABEL;;;1;3;6;19;36;31;30;28;;;154
7849184 HOSPITAL SANTA MARIA DE SUZANO;;;1;;2;2;1;3;;;;;9
2089580 HOSPITAL SANTA PAULA;;1;1;5;14;18;30;50;52;24;1;;196
2604388 HOSPITAL SANTA ROSA;;;;;;1;;;;;;;1
2081784 HOSPITAL SANTA THEREZINHA BROTAS;;;;;;;1;;;;;;1
2083256 HOSPITAL SANTANA;;;;2;3;6;5;3;1;;;;20
2754843 HOSPITAL SANTO AMARO;;;;;;2;2;;;;;;4
2303167 HOSPITAL SANTO ANTONIO DE ITAPEMA - ITAPEMA (SC);;;;;;;;1;;;;;1
2080354 HOSPITAL SANTO ANTONIO SANTOS;;;;;;;;1;;;;;1
2558254 HOSPITAL SANTO ANTONIO - BLUMENAU (SC);;;;;;;1;1;;;;;2
5654688 HOSPITAL SANTO EXPEDITO;;;;;;;1;;;;;;1
3047822 HOSPITAL SAO BERNARDO;;;;6;11;34;25;14;8;1;;;99
3027600 HOSPITAL SAO CAMILO IPIRANGA;;;1;4;1;15;22;34;25;19;2;;123
2688565 HOSPITAL SAO CAMILO POMPEIA;1;;5;4;9;27;45;53;77;44;2;;267
3039420 HOSPITAL SAO CAMILO SANTANA;;1;1;8;26;27;54;55;56;34;1;;263
2303892 HOSPITAL SAO FRANCISCO - CONCORDIA (SC);;;;;;;;1;;;;;1
3101126 HOSPITAL SAO FRANCISCO SC LTDA;;;;;1;3;1;;;;;;5
5171946 HOSPITAL SAO LUCAS RIBEIRANIA (RIBEIRÇO PRETO);;;;;;;;1;;;;;1
9194258 HOSPITAL SAO LUIZ SAO CAETANO;;;2;2;6;8;6;5;2;;;;31
2077485 HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO;13;9;19;32;74;167;259;229;137;47;;;986
2509369 HOSPITAL SAO PEDRO - REMANSO (BA);;;;;;;1;;;;;;1
2080923 HOSPITAL SAO VICENTE - SAO JOSE DO RIO PARDO - SP;;;;;;;1;;;;;;1
2487756 HOSPITAL SAO VICENTE DE PAULO;;;;;;;1;1;;;;;2
2081741 HOSPITAL SBC;;;;;;1;3;2;4;1;;;11
2819473 HOSPITAL SERRA MAYOR;;;1;5;7;17;1;3;4;;;;38
5101654 HOSPITAL SINO BRASILEIRO;;;;1;1;;1;4;2;;;;9
2078155 HOSPITAL STELLA MARIS;;;1;1;;3;;5;1;;;;11
3018903 HOSPITAL UNIMED;;;;;;1;;;;;;;1
3038130 HOSPITAL UNIMED AMERICANA;;;;;;;1;;;;;;1
2708566 HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO;;;;;;;;1;1;;;;2
3582647 HOSPITAL UNIMED PRONTO ATENDIMENTO - POCOS DE CALDAS (MG);;;;;;;;;1;;;;1
5586348 HOSPITAL UNIV DA UFSCAR PROF DR HORACIO C PANEPUCCI - SAO CARLOS (SP);;;;;;;;;1;;;;1
2076926 HOSPITAL UNIVERSITARIO DA USP SAO PAULO;2;;1;4;8;17;21;27;32;7;1;;120
2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA;;;;;;;1;;;1;;;2
2704900 HOSPITAL UNIVERSITARIO SAO FRANCISCO NA PROVIDENCIA DE DEUS;;;1;;;;;1;;;;;2
9735372 HOSPITAL VILA NOVA STAR;;;;;1;2;11;9;8;3;;;34
5590450 HOSPITAL VILLA LOBOS;;;3;8;16;29;26;33;35;18;;;168
7124139 HOSPITAL VITAL;;;;;;;2;1;;1;;;4
6668143 HOSPITAL VITORIA;1;;1;10;25;37;48;54;46;28;;;250
3811735 HOSPITALAR ASSUNCAO;;;;;1;;;;;;;;1
3272591 HOSPITALIS;;;;1;;;;;;1;;;2
2645157 HRL;;;;;;;;1;;;;;1
2672197 HRSAM HOSPITAL REGIONAL DE SAMAMBAIA - BRASILIA (DF);;;;;1;;;;;;;;1
3027805 HSANP HOSPITAL;;;1;6;6;14;12;20;18;7;;;84
3537943 HSM LTDA;;;;;;;;1;;;;;1
9392645 HUMANA MAGNA - SÇO PAULO (SP);;;;;;1;;;2;;;;3
2077590 IBCC;;;3;8;23;34;38;25;17;1;;;149
0019402 IMPERIAL HOSPITAL DE CARIDADE;;;;;;;;1;;;;;1
2480646 IMTAVI;;;;;;1;;;;;;;1
2288338 INI FIOCRUZ;;;;;1;1;;;;;;;2
7261012 INNOVA HOSPITAIS ASSOCIADOS LTDA;;;;1;;2;1;;1;;;;5
7544529 INST DE INFECT EMILIO RIBAS II BAIXADA SANTISTA;;;;;1;;2;;;;;;3
2080125 INST DO CANCER ARNALDO VIEIRA DE CARVALHO;;;;1;9;17;29;24;6;3;;;89
2088495 INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO;;;;2;11;19;45;82;44;7;;;210
2028840 INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;;1;13;18;37;72;94;59;26;3;;;323
6123740 INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;;;;;;;;1;;;;;1
2078066 INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO;;;;2;;2;1;;;;;;5
2084368 INTERMEDICA SISTEMA DE SAUDE;;1;;3;6;3;8;6;4;2;;;33
9459413 INTERMEDICA SISTEMA DE SAUDE - SANTO ANDRE (SP);;;;1;;1;;;;;;;2
2088193 IRMANDADE DA STA CASA DE MISERICORD DE MOGI MIRIM MOGI MIRIM;;;;;;1;;;;;;;1
3027813 MASTER CLIN;;;;;1;2;1;;;;;;4
2825309 MEDICAL LIMEIRA;;;;1;;;;;;;;;1
2825589 METROPOLITANA DE SARANDI;;;;;1;;;;;;;;1
5239869 NOTRE DAME INTERMEDICA SAUDE S A INDICO PA SBC;;;;;;;1;;;;;;1
2040727 PA MUN DR ATUALPA GIRAO RABELO;;;;3;;10;14;12;6;1;;;46
2075423 PA MUN SAO MATEUS II;;;1;;;;1;;;;;;2
2599848 PRONCOR - CAMPO GRANDE (MS);;;;;;;1;;;;;;1
2090589 PRONTO ATENDIMENTO MARIA DIRCE;;;;;;;1;;;;;;1
7931670 PRONTO ATENDIMENTO SANCTA MAGGIORE JARDIM PAULISTA;;;;;;2;4;17;12;9;2;;46
9095195 PRONTO ATENDIMENTO SANCTA MAGGIORE MORUMBI;;;;;;;1;2;1;5;3;;12
9472908 PRONTO ATENDIMENTO SANCTA MAGGIORE SANTANA;;;;;;1;6;16;13;15;1;;52
6654665 PRONTO ATENDIMENTO SANCTA MAGGIORE TATUAPE;;;;;;;2;4;4;3;;;13
7228163 PRONTO SOCORRO CENTRAL;;;;;;;;1;;;;;1
2801051 PRONTO SOCORRO CENTRAL DE DIADEMA;;;2;;1;2;3;2;1;;;;11
0008087 PRONTO SOCORRO CONRADO CESARINO NUVOLINI;;;;;;;;1;1;;;;2
0008141 PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA;;;;;;;1;;;;;;1
6754775 PRONTO SOCORRO DR EDISON DANIEL DOS SANTOS MANO - STA BARBARA D'OESTE (SP);;;;;;;;1;;;;;1
3828107 PRONTO SOCORRO DR OSMAR MESQUITA;;;;;;;1;2;;;;;3
5406390 PRONTO SOCORRO MUNICIPAL DE ITANHAEM;;;;;1;;;;;;;;1
9225137 PRONTO SOCORRO MUNICIPAL DE PINDAMONHANGABA;;;;;;;1;;;;;;1
2039001 PRONTO SOCORRO MUNICIPAL DE SUZANO;;;;;1;;;;;;;;1
3825752 PRONTO SOCORRO PESTANA P S ANDRE SACCO;;;;;;;;;1;1;;;2
2789353 PRONTO SOCORRO PROF DR MATHEUS SANTAMARIA GUARUJA;;;;;;2;;;;;;;2
2082209 PS E MATERNIDADE NAIR FONSECA LEITAO ARANTES;;;;;;2;3;;1;;;;6
5932696 PS FENELON GUEDES PEREIRA;;;;;1;1;1;2;2;2;;;9
7682581 PS JOSE IBRAHIN;;;;3;2;2;4;2;4;1;;;18
2037971 PS MUN AUGUSTO GOMES DE MATOS;;;;;1;3;7;7;2;1;1;;22
4050320 PS MUN DR ALVARO DINO DE ALMEIDA;;;;4;11;16;16;16;7;;;;70
2027100 PS MUN DR CAETANO VIRGILIO NETTO;;;3;7;12;15;28;34;31;12;1;;143
2029189 PS MUN FREGUESIA DO O 21 DE JUNHO;;;3;5;16;29;27;46;30;11;;;167
2082837 PS MUN PROF JOAO CATARIN MEZOMO;;1;;1;1;1;3;6;11;7;;;31
2071495 PS MUN SANTANA LAURO RIBAS BRAGA;;;3;2;14;21;29;29;19;10;;;127
2075407 PS MUN V MARIA BAIXA;;;;2;7;6;10;12;9;1;;;47
6024688 PSI PRONTO SOCORRO INFANTIL DE TABOAO DA SERRA;1;;;;;;;;;;;;1
2752093 PSM BALNEARIO SAO JOSE;;;;;1;2;2;;1;;;;6
4050282 PSM DONA MARIA ANTONIETA FERREIRA DE BARROS;;;;4;5;12;19;23;11;4;1;;79
0001120 REAL HOSPITAL PORTUGUES;;;;;;;;;1;;;;1
2078465 REAL SOCIEDADE PORTUGUESA DE BENEFICENCIA;;;;;;;2;;;;;;2
3580822 REDE DOR SAO LUIZ S A;;;;;;2;;;;;;;2
3566692 RESIDENCIAL ALBERT EINSTEIN;;;;;;;;;1;;;;1
2171945 SANTA CASA DE ALFENAS;;;;;;;1;;;;;;1
2083051 SANTA CASA DE APARECIDA;;;;;;;1;;;;;;1
2791722 SANTA CASA DE JAU;;;;;;;;1;;;;;1
2078074 SANTA CASA DE LEME;;;;;;;1;;1;;;;2
2083116 SANTA CASA DE MARILIA;;;;;;1;;;;;;;1
2751747 SANTA CASA DE MAUA;;;;;2;1;1;3;1;;;;8
2688433 SANTA CASA DE MISERICORDIA DE BRAGANCA PAULISTA;;;;;;2;2;;;1;;;5
2442612 SANTA CASA DE MISERICORDIA DE CATALAO;;;;;;;;;1;;;;1
2027186 SANTA CASA DE MISERICORDIA DE ITAPEVA;;;;;;;;1;;;;;1
2023709 SANTA CASA DE MISERICORDIA DE ITATIBA;;;;;;;;1;;;;;1
2798298 SANTA CASA DE MISERICORDIA DE SAO JOSE DO RIO PRETO;;;;;;;;;;1;;;1
2748029 SANTA CASA DE MISERICORDIA DE SAO JOSE DOS CAMPOS;;;;;;;2;;1;;;;3
2702193 SANTA CASA DE MISERICORDIA DE UBATUBA;;;;;;;;;1;;;;1
2084228 SANTA CASA DE MISERICORDIA DONA CAROLINA MALHEIROS SJBV - SAO JOAO DA BOA VISTA;;;;;;;;1;;;;;1
2146525 SANTA CASA DE PARAISO;;;;;;;;1;;;;;1
2755092 SANTA CASA DE PINDAMONHANGABA;;;;;;1;;1;;;;;2
2129469 SANTA CASA DE POCOS DE CALDAS - POCOS DE CALDAS (MG);;;;;1;;;;;;;;1
2084414 SANTA CASA DE RIBEIRAO PRETO;;;;;;;;;1;;;;1
2082888 SANTA CASA DE RIO CLARO;;;;;;1;;;;;;;1
2083140 SANTA CASA DE SANTA ISABEL;;;;;;;;1;;;;;1
2025752 SANTA CASA DE SANTOS;;;;;;;1;;;;;;1
2080931 SANTA CASA DE SAO CARLOS;;;;;;;;;2;1;;;3
2688689 SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO;2;5;21;46;74;133;254;205;115;21;3;1;880
2084422 SANTA CASA DE SAO PEDRO;;;;;;;;;1;;;;1
2708779 SANTA CASA DE SOROCABA;;;;;;;1;;;;;;1
2699915 SANTA CASA DE VINHEDO;;;;;;1;;;;;;;1
2081377 SANTA CASA DE VOTUPORANGA;;;;;;;;1;;;;;1
2080532 SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MARTINS PRES PRUDENT;;;;;;;;;;1;;;1
2078902 SANTA CASA PILAR DO SUL;;;;;;;;1;;;;;1
3719820 SANTA HELENA ASSISTENCIA MEDICA UNIDADE 12;;;;;;;;;1;;;;1
3824802 SAO LUIZ UNIDADE MORUMBI;;;;4;6;13;23;38;38;25;;;147
2786338 SECAO PRONTO SOCORRO DA ZONA NOROESTE SEPROS ZNO;;;;1;;;;;;;;;1
6938361 UNIDADE AMBULATORIAL HOSPITAL SAO CAETANO - SAO CAETANO DO SUL (SP);;;;;1;;2;;3;;;;6
2077523 UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;3;;5;25;48;97;141;145;114;47;6;1;632
7868499 UNIDADE DE PRONTO ATENDIMENTO DRA ZILDA ARNS;;;;;;;2;1;;;;;3
3474674 UNIDADE DE PRONTO ATENDIMENTO JARDIM ANGELA;;;;;;;1;2;;;;;3
6008054 UNIDADE DE PRONTO ATENDIMENTO UNIDADE XVI UPA XVI - CONTAGEM (MG);;;;;;1;;;;;;;1
7094132 UNIDADE DE PRONTO ATENDIMENTO UPA I SANTA ISABEL;;;;;;;1;;1;;;;2
2085976 UNIDADE MISTA DE SAUDE ROSA SANTA PASIN AGUIAR;;;;;1;;;2;;;;;3
2785188 UNIDADE MISTA DE TABOAO DA SERRA;;;;;;;;;1;;;;1
5883229 UNIDADE PRE HOSPITALAR ZONA OESTE SOROCABA;;;;;;;1;;;;;;1
7522738 UPA ATALAIA DRA RITA DE CASSIA SORIO;;;;;;;;1;1;;;;2
0008494 UPA BANGU;;;;;;2;2;;;;;;4
0017396 UPA BOA VISTA;;;;;;;;1;;;;;1
2639548 UPA CAMPO COMPRIDO;;;;1;;;;;;;;;1
4050665 UPA CENTRAL;;;;;;;;1;;;;;1
9400109 UPA CUMBICA;;;;;1;;1;;;;;;2
6535798 UPA DEMARCHI BATISTINI;;1;;;;;;2;;;;;3
7429991 UPA DR AKIRA TADA;;;1;;2;8;4;8;6;;;;29
7792522 UPA EDEN SOROCABA;;;;;;;1;;;;;;1
6885284 UPA ENSEADA PAULO FLAVIO AFONSO PIASENTI GUARUJA;;;;;1;;;;;;;;1
9971513 UPA ERMELINO MATARAZZO;;1;;6;13;16;29;32;17;7;1;;122
9051422 UPA III 26 DE AGOSTO;;;;5;7;16;27;28;20;9;;1;113
7529368 UPA III DR ALAIR MAFRA ANAPOLIS GOIAS;;;;;;;;1;;;;;1
9211861 UPA III DR THELMO DE ALMEIDA CRUZ;;;;;;;1;;;;;;1
7479387 UPA III NOVA CAMPO LIMPO;2;1;10;30;62;123;165;146;114;29;1;1;684
9997091 UPA JACANA;2;1;1;10;16;36;49;50;38;21;;;224
6270131 UPA JAGUARE;;;;;;;1;;;;;;1
7152574 UPA JOSE CAMPOS BARRETO ZEQUINHA BARRETO;;;;1;1;1;2;2;;;;;7
6030807 UPA JOSE SANTOS SASSO;;;;1;;;;;;;;;1
2069032 UPA JULIO TUPY;1;1;5;10;30;45;57;71;53;18;2;;293
6950051 UPA MAGINI CENTRO;;;;;2;;2;2;;;;;6
6133460 UPA PEDREIRA DR CESAR ANTUNES DA ROCHA;;;;1;1;1;1;1;;;;;5
7113218 UPA PERIMETRAL;;;;;;;;1;;1;;1;3
4050169 UPA PERUS DR LUIZ ANTONIO DE ABREU SAMPAIO DORIA;1;1;1;4;6;19;34;27;21;8;1;;123
6146341 UPA PIRITUBA;1;1;5;8;29;40;81;73;64;21;2;1;326
6650864 UPA RIACHO GRANDE;;;;;1;1;;;;;;;2
7030878 UPA RUDGE RAMOS;;;;;1;2;3;1;2;;;;9
7021461 UPA SACADURA CABRAL;;;;;;;;;1;;;;1
7494068 UPA SADAKO SEDOGUTI;;;;;;;;;1;;;;1
2752107 UPA SANTO AMARO DR JOSE SYLVIO DE CAMARGO;;;;1;8;10;13;18;9;4;;;63
6916074 UPA SAO JOAO LAVRAS;;;;;;1;;;2;;;;3
7169310 UPA SILVINA;;;;;;;;1;;;;;1
9736700 UPA TITO LOPES;;;;3;14;24;29;32;29;12;;1;144
9505946 UPA VERA CRUZ;;;;;;;1;;;;;;1
7996802 UPA VICENTE MISSIANO;;;;;1;;1;;;1;;;3
6950043 UPA VILA ASSIS;;1;;;;;1;;;;;;2
7638698 UPA VILA SANTA CATARINA;;;;1;3;7;21;16;9;8;;;65
6919456 UPA ZAIRA;;;;;;;1;;;;;;1
7299532 UPH LESTE UNIDADE PRE HOSPITALAR ZONA LESTE SOROCABA;;;;1;;;;;;;;;1
