estab_internacao;sim;nao;ign;total
5101654 HOSPITAL SINO BRASILEIRO;29;16;1;46
2078155 HOSPITAL STELLA MARIS;9;4;;13
3018903 HOSPITAL UNIMED;;1;;1
3038130 HOSPITAL UNIMED AMERICANA;1;;;1
3366219 HOSPITAL UNIMED ARACATUBA;2;1;;3
2708566 HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO;1;1;;2
3718395 HOSPITAL UNIMED LITORAL;1;;;1
2080699 HOSPITAL UNIMED PIRACICABA;2;;;2
6962831 HOSPITAL UNIMED RECIFE III;1;;1;2
7965192 HOSPITAL UNIMED RIBEIRAO PRETO;;1;;1
6194168 HOSPITAL UNIMED UNIDADE ANCHIETA;2;;;2
6437745 HOSPITAL UNIMED UNIDADE CONTORNO;2;1;;3
5586348 HOSPITAL UNIV DA UFSCAR PROF DR HORACIO C PANEPUCCI - SAO CARLOS (SP);1;1;;2
2076926 HOSPITAL UNIVERSITARIO DA USP SAO PAULO;203;9;19;231
0015245 HOSPITAL UNIVERSITARIO EVANGELICO MACKENZIE;1;;;1
2587335 HOSPITAL UNIVERSITARIO REGIONAL DE MARINGA;1;;;1
2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA;2;;;2
2704900 HOSPITAL UNIVERSITARIO SAO FRANCISCO NA PROVIDENCIA DE DEUS;;2;1;3
2078376 HOSPITAL VERA CRUZ;1;1;;2
9735372 HOSPITAL VILA NOVA STAR;137;1;2;140
5590450 HOSPITAL VILLA LOBOS;254;19;274;547
6668143 HOSPITAL VITORIA;1165;7;28;1200
7642423 HOSPITAL VITORIA;1;;;1
3507157 HOSPITAL VIVALLE;1;1;5;7
6988938 HOSPITAL VIVALLE - SAO JOSE DOS CAMPOS;;;1;1
3811735 HOSPITALAR ASSUNCAO;3;;;3
3272591 HOSPITALIS;;;2;2
3027805 HSANP HOSPITAL;62;12;1;75
3537943 HSM LTDA;;;1;1
9392645 HUMANA MAGNA - SÇO PAULO (SP);1;;;1
2273748 HUV HOSPITAL UNIVERSITARIO DE VASSOURAS (RIO DE JANEIRO);1;;;1
2077590 IBCC;85;4;6;95
2488892 IBR HOSPITAL - VITORIA DA CONQUISTA (BA);;2;;2
0019402 IMPERIAL HOSPITAL DE CARIDADE;;;1;1
2480646 IMTAVI;;;2;2
2288338 INI FIOCRUZ;1;;1;2
7261012 INNOVA HOSPITAIS ASSOCIADOS LTDA;1;;10;11
6396607 INNOVA HOSPITAIS ASSOCIADOS LTDA;1;;;1
7544529 INST DE INFECT EMILIO RIBAS II BAIXADA SANTISTA;;2;;2
2080125 INST DO CANCER ARNALDO VIEIRA DE CARVALHO;31;;29;60
0005428 INSTITUTO COUTO MAIA;;1;;1
2088495 INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO;108;11;4;123
2028840 INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;736;25;85;846
6123740 INSTITUTO DO CANCER DO ESTADO DE SAO PAULO;1;1;;2
2078066 INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO;8;1;2;11
2084368 INTERMEDICA SISTEMA DE SAUDE;77;7;5;89
5074320 INTERMEDICA SISTEMA DE SAUDE SA;2;;;2
9459413 INTERMEDICA SISTEMA DE SAUDE - SANTO ANDRE (SP);;3;;3
2088193 IRMANDADE DA STA CASA DE MISERICORD DE MOGI MIRIM MOGI MIRIM;;1;;1
3027813 MASTER CLIN;4;;;4
2825309 MEDICAL LIMEIRA;2;;;2
2825589 METROPOLITANA DE SARANDI;1;;;1
2784874 MOGI MATER HOSPITAL E MATERNIDADE;3;;;3
3594432 NITEROI DOR;;;1;1
2068672 NOTRE DAME INTERMEDICA SAUDE S A;1;;;1
5239869 NOTRE DAME INTERMEDICA SAUDE S A INDICO PA SBC;1;;;1
2040727 PA MUN DR ATUALPA GIRAO RABELO;38;3;4;45
2075423 PA MUN SAO MATEUS II;2;;;2
3037274 PRO MATRE PAULISTA;16;1;;17
0021520 PRONTO ATENDIMENTO DE VILA LUZITA;1;;;1
6591620 PRONTO ATENDIMENTO INFANTIL;;1;;1
2073552 PRONTO ATENDIMENTO JARDIM PARAISO;;2;;2
2090589 PRONTO ATENDIMENTO MARIA DIRCE;1;;1;2
7931670 PRONTO ATENDIMENTO SANCTA MAGGIORE JARDIM PAULISTA;31;;17;48
9472908 PRONTO ATENDIMENTO SANCTA MAGGIORE SANTANA;35;;5;40
6654665 PRONTO ATENDIMENTO SANCTA MAGGIORE TATUAPE;3;1;5;9
7228163 PRONTO SOCORRO CENTRAL;3;;1;4
2801051 PRONTO SOCORRO CENTRAL DE DIADEMA;38;3;22;63
8002428 PRONTO SOCORRO CENTRAL GUIOMAR FERREIRA ROEBBELEN;1;1;2;4
0008087 PRONTO SOCORRO CONRADO CESARINO NUVOLINI;1;1;;2
2063786 PRONTO SOCORRO DR AKIRA TADA;1;;;1
0008141 PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA;;1;;1
3828107 PRONTO SOCORRO DR OSMAR MESQUITA;16;;;16
2024381 PRONTO SOCORRO MUNICIPAL ARNALDO DE FIGUEIREDO FREITAS;1;;;1
9225137 PRONTO SOCORRO MUNICIPAL DE PINDAMONHANGABA;1;;;1
2024373 PRONTO SOCORRO MUNICIPAL JOSE AGOSTINHO DOS SANTOS;7;1;1;9
2789353 PRONTO SOCORRO PROF DR MATHEUS SANTAMARIA GUARUJA;1;;;1
2082209 PS E MATERNIDADE NAIR FONSECA LEITAO ARANTES;11;1;1;13
5932696 PS FENELON GUEDES PEREIRA;6;1;;7
7682581 PS JOSE IBRAHIN;23;4;;27
2037971 PS MUN AUGUSTO GOMES DE MATOS;26;;1;27
4050320 PS MUN DR ALVARO DINO DE ALMEIDA;227;;66;293
2027100 PS MUN DR CAETANO VIRGILIO NETTO;272;39;29;340
2029189 PS MUN FREGUESIA DO O 21 DE JUNHO;170;23;25;218
2082837 PS MUN PROF JOAO CATARIN MEZOMO;2;2;;4
2071495 PS MUN SANTANA LAURO RIBAS BRAGA;33;8;6;47
2075407 PS MUN V MARIA BAIXA;160;2;33;195
6024688 PSI PRONTO SOCORRO INFANTIL DE TABOAO DA SERRA;38;4;3;45
2752093 PSM BALNEARIO SAO JOSE;17;;4;21
4050282 PSM DONA MARIA ANTONIETA FERREIRA DE BARROS;84;24;1;109
0001120 REAL HOSPITAL PORTUGUES;;;1;1
2078465 REAL SOCIEDADE PORTUGUESA DE BENEFICENCIA;3;1;1;5
3580822 REDE DOR SAO LUIZ S A;2;2;;4
2078848 SANTA CASA ANNA CINTRA;1;;1;2
2083051 SANTA CASA DE APARECIDA;;;1;1
5366828 SANTA CASA DE ATIBAIA;2;;;2
0027014 SANTA CASA DE BELO HORIZONTE;2;2;;4
2135132 SANTA CASA DE CARIDADE;1;;;1
2750988 SANTA CASA DE DRACENA - DRACENA (SP);1;1;;2
2773333 SANTA CASA DE GUARAREMA;2;1;;3
2791722 SANTA CASA DE JAU;1;;1;2
2078074 SANTA CASA DE LEME;2;;;2
2079917 SANTA CASA DE LOUVEIRA;1;;;1
2751747 SANTA CASA DE MAUA;16;10;2;28
2688433 SANTA CASA DE MISERICORDIA DE BRAGANCA PAULISTA;4;2;1;7
2442612 SANTA CASA DE MISERICORDIA DE CATALAO;1;;;1
2027186 SANTA CASA DE MISERICORDIA DE ITAPEVA;1;;;1
2023709 SANTA CASA DE MISERICORDIA DE ITATIBA;1;;;1
2096412 SANTA CASA DE MISERICORDIA DE JACAREI;1;;1;2
2153882 SANTA CASA DE MISERICORDIA DE JUIZ DE FORA;1;;;1
2748029 SANTA CASA DE MISERICORDIA DE SAO JOSE DOS CAMPOS;2;;3;5
2702193 SANTA CASA DE MISERICORDIA DE UBATUBA;1;;;1
2139200 SANTA CASA DE MISERICORDIA DO HOSPITAL SAO FRANCISCO DE ASSIS - TRES PONTAS (MG);1;;;1
2082845 SANTA CASA DE OLIMPIA;1;;;1
2082519 SANTA CASA DE PARAGUACU PAULISTA;1;;;1
2146525 SANTA CASA DE PARAISO;;1;;1
2755092 SANTA CASA DE PINDAMONHANGABA;4;;1;5
2785382 SANTA CASA DE PIRASSUNUNGA;1;;;1
2082888 SANTA CASA DE RIO CLARO;1;;;1
2025752 SANTA CASA DE SANTOS;1;;3;4
2080931 SANTA CASA DE SAO CARLOS;4;1;;5
2688689 SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO;624;106;305;1035
2084422 SANTA CASA DE SAO PEDRO;1;;;1
2708779 SANTA CASA DE SOROCABA;3;;;3
2699915 SANTA CASA DE VINHEDO;1;;;1
2081377 SANTA CASA DE VOTUPORANGA;1;;;1
2080532 SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MARTINS PRES PRUDENT;1;;;1
2084058 SANTA CASA MISER STA CRUZ RIO PARDO;;1;;1
2083175 SANTA CASA PIEDADE - PIEDADE (SP);1;;;1
2078902 SANTA CASA PILAR DO SUL;1;;;1
3719820 SANTA HELENA ASSISTENCIA MEDICA UNIDADE 12;2;;;2
3824802 SAO LUIZ UNIDADE MORUMBI;817;463;53;1333
2786338 SECAO PRONTO SOCORRO DA ZONA NOROESTE SEPROS ZNO;;;1;1
2298031 SES RJ HOSPITAL ESTADUAL ALBERTO TORRES GERAL SAO GONCALO;;;1;1
2287250 SOCIEDADE PORTUGUESA DE BENEFICENCIA DE CAMPOS - CAMPOS DOS GOYTACAZES - RJ;1;;;1
6938361 UNIDADE AMBULATORIAL HOSPITAL SAO CAETANO - SAO CAETANO DO SUL (SP);6;;;6
2077523 UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;969;83;2;1054
7184689 UNIDADE DE PRONTO ATENDIMENTO CENTRAL DE CARAGUATATUBA;;1;;1
2706245 UNIDADE DE PRONTO ATENDIMENTO DE FRANCO DA ROCHA UPA II;;;3;3
7868499 UNIDADE DE PRONTO ATENDIMENTO DRA ZILDA ARNS;10;3;11;24
3474674 UNIDADE DE PRONTO ATENDIMENTO JARDIM ANGELA;4;1;;5
0023272 UNIDADE DE PRONTO ATENDIMENTO NORTE - BELO HORIZONTE (MG);1;;;1
7094132 UNIDADE DE PRONTO ATENDIMENTO UPA I SANTA ISABEL;1;;;1
6986609 UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL;1;;;1
2072033 UNIDADE MISTA DE SAUDE DE EMBUGUACU;;;1;1
2085976 UNIDADE MISTA DE SAUDE ROSA SANTA PASIN AGUIAR;2;1;;3
2785188 UNIDADE MISTA DE TABOAO DA SERRA;3;1;;4
5883229 UNIDADE PRE HOSPITALAR ZONA OESTE SOROCABA;1;;;1
9156216 UNIMED GUARULHOS UNIDADE DE ATENDIMENTO;;;1;1
2084902 UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MEDICO SJBV;;1;;1
7053835 UPA ALVES DIAS ASSUNCAO;2;;;2
7522738 UPA ATALAIA DRA RITA DE CASSIA SORIO;2;;;2
6844596 UPA BAETA NEVES;3;;;3
0008494 UPA BANGU;3;1;;4
2061562 UPA BARAO DE MAUA;2;1;;3
0017396 UPA BOA VISTA;1;;;1
4050665 UPA CENTRAL;2;1;;3
9400109 UPA CUMBICA;7;1;1;9
6535798 UPA DEMARCHI BATISTINI;2;;;2
7429991 UPA DR AKIRA TADA;61;10;4;75
9971513 UPA ERMELINO MATARAZZO;327;48;6;381
9051422 UPA III 26 DE AGOSTO;203;23;10;236
7479387 UPA III NOVA CAMPO LIMPO;1786;40;588;2414
9997091 UPA JACANA;25;8;15;48
6270131 UPA JAGUARE;1;;;1
7152574 UPA JOSE CAMPOS BARRETO ZEQUINHA BARRETO;4;1;;5
6030807 UPA JOSE SANTOS SASSO;;1;;1
2069032 UPA JULIO TUPY;233;30;33;296
6950051 UPA MAGINI CENTRO;12;1;2;15
7134665 UPA NOVA HOSTOLANDIA MANOEL GEORGINO LOPES - HORTOLANDIA - SP;1;;;1
6821197 UPA PAULICEIA TABOAO;1;;2;3
6133460 UPA PEDREIRA DR CESAR ANTUNES DA ROCHA;5;1;1;7
4050169 UPA PERUS DR LUIZ ANTONIO DE ABREU SAMPAIO DORIA;41;8;150;199
6146341 UPA PIRITUBA;397;162;17;576
7030878 UPA RUDGE RAMOS;27;4;1;32
7021461 UPA SACADURA CABRAL;;1;;1
7102429 UPA SANTA LUZIA;1;1;;2
2752107 UPA SANTO AMARO DR JOSE SYLVIO DE CAMARGO;18;21;3;42
6916074 UPA SAO JOAO LAVRAS;2;;;2
6418651 UPA SAO PEDRO;1;;;1
7169310 UPA SILVINA;1;1;1;3
9736700 UPA TITO LOPES;64;2;7;73
6607667 UPA UNIAO ALVARENGA;2;;;2
9505946 UPA VERA CRUZ;1;;;1
6950043 UPA VILA ASSIS;2;;;2
7638698 UPA VILA SANTA CATARINA;71;41;4;116
6919456 UPA ZAIRA;3;;1;4
7297394 UPAE DR EMANUEL ALIRIO BRANDAO PETROLINA;1;;;1
7299532 UPH LESTE UNIDADE PRE HOSPITALAR ZONA LESTE SOROCABA;1;;;1
