COVID19 Síndrome Respiratória Aguda Grave (SRAG)
Nº de Casos por Estab de Internação e Evolução
Período:2021
"Estab de Internação";"Cura";"Óbito";"Óbito por outras causas";"Ignorado";"Sem informação";"Total"
"9425802 HOSPITAL REGIONAL DE PIRACICABA - PIRACICABA (SP)";1;-;-;-;-;1
"0008052 HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO";73;44;-;1;1;119
"9141839 HOSPITAL REGIONAL JOSE ALENCAR - UBERABA - MG";-;1;-;-;-;1
"2091313 HOSPITAL REGIONAL SUL SAO PAULO";928;235;3;1;4;1171
"3242587 HOSPITAL REGIONAL UNIMED - FORTALEZA (CE)";-;1;-;-;1;2
"7044666 HOSPITAL RENASCENCA CAMPINAS";3;-;-;-;-;3
"9490604 HOSPITAL SAGRADA FAMILIA";11;9;1;1;38;60
"9554157 HOSPITAL SALVALUS";1985;670;1;2;3;2661
"2023148 HOSPITAL SAMARITANO DE CAMPINAS";-;2;-;-;-;2
"2078732 HOSPITAL SAMARITANO DE SOROCABA";5;1;-;-;-;6
"9684948 HOSPITAL SAMARITANO PAULISTA";457;123;2;2;32;616
"7174691 HOSPITAL SANCTA MAGGIORE ALTO DA MOOCA";206;111;1;-;4;322
"9131434 HOSPITAL SANCTA MAGGIORE HIGIENOPOLIS";467;332;3;-;18;820
"7174705 HOSPITAL SANCTA MAGGIORE ITAIM";14;7;-;-;2;23
"7174713 HOSPITAL SANCTA MAGGIORE MOOCA";319;220;7;-;13;559
"7174721 HOSPITAL SANCTA MAGGIORE PARAISO";1774;927;8;2;53;2764
"7357079 HOSPITAL SANCTA MAGGIORE PINHEIROS";581;347;5;1;23;957
"7435568 HOSPITAL SANCTA MAGGIORE SAO BERNARDO";12;3;-;-;-;15
"9620494 HOSPITAL SANTA ANA";38;69;-;1;27;135
"2149990 HOSPITAL SANTA CASA DE MONTES CLAROS";-;1;-;-;-;1
"7676484 HOSPITAL SANTA CLARA";259;141;-;-;5;405
"2151871 HOSPITAL SANTA CLARA";2;-;-;-;-;2
"3000869 HOSPITAL SANTA CRUZ";1;-;-;-;-;1
"2078759 HOSPITAL SANTA ELISA";1;-;-;-;-;1
"3528596 HOSPITAL SANTA HELENA";96;29;5;-;-;130
"2081539 HOSPITAL SANTA HELENA ASSISTENCIA MEDICA SB DO CAMPO";9;1;-;-;-;10
"2797844 HOSPITAL SANTA HELENA SAO JOSE DO RIO PRETO";1;-;-;-;-;1
"2078872 HOSPITAL SANTA IGNES";3;-;-;-;-;3
"2558246 HOSPITAL SANTA ISABEL";-;1;-;-;-;1
"2079445 HOSPITAL SANTA ISABEL";488;74;4;-;-;566
"2129566 HOSPITAL SANTA LUCIA HOSPITAL DO CORACAO";3;-;-;-;-;3
"3005402 HOSPITAL SANTA LUZIA - BRASILIA - DF";1;-;-;-;-;1
"7849184 HOSPITAL SANTA MARIA DE SUZANO";8;6;-;-;-;14
"2089580 HOSPITAL SANTA PAULA";613;111;1;-;9;734
"2604388 HOSPITAL SANTA ROSA";-;1;-;-;-;1
"2083256 HOSPITAL SANTANA";15;15;-;1;1;32
"2754843 HOSPITAL SANTO AMARO";1;2;-;-;-;3
"2303167 HOSPITAL SANTO ANTONIO DE ITAPEMA - ITAPEMA (SC)";1;-;-;-;-;1
"2795671 HOSPITAL SANTO ANTONIO - SINOP (MT)";1;-;-;-;-;1
"5654688 HOSPITAL SANTO EXPEDITO";1;1;-;-;-;2
"3047822 HOSPITAL SAO BERNARDO";124;49;3;-;2;178
"3027600 HOSPITAL SAO CAMILO IPIRANGA";470;68;6;-;1;545
"2688565 HOSPITAL SAO CAMILO POMPEIA";1712;122;4;10;7;1855
"3039420 HOSPITAL SAO CAMILO SANTANA";470;130;2;20;5;627
"2308665 HOSPITAL SAO DOMINGOS (SAO LUIS - MARANHAO)";1;-;-;-;-;1
"2079275 HOSPITAL SAO FRANCISCO RIBEIRAO PRETO";1;-;-;-;-;1
"3101126 HOSPITAL SAO FRANCISCO SC LTDA";5;4;-;1;-;10
"2144298 HOSPITAL SAO JUDAS TADEU DE OLIVEIRA";1;-;-;-;-;1
"5171946 HOSPITAL SAO LUCAS RIBEIRANIA (RIBEIRÇO PRETO)";2;-;-;-;-;2
"2081261 HOSPITAL SAO LUIZ";1;-;-;-;-;1
"9194258 HOSPITAL SAO LUIZ SAO CAETANO";301;26;-;1;59;387
"2077485 HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO";885;394;58;17;1;1355
"0003808 HOSPITAL SAO RAFAEL";2;-;-;-;-;2
"2562871 HOSPITAL SAO RAIMUNDO";1;-;-;-;-;1
"2079313 HOSPITAL SAO ROQUE CABREUVA";1;-;-;-;-;1
"2122677 HOSPITAL SAO SALVADOR - ALEM PARAIBA (MG)";1;-;-;-;-;1
"2487756 HOSPITAL SAO VICENTE DE PAULO";5;1;-;-;-;6
"2081741 HOSPITAL SBC";35;6;1;-;-;42
"2819473 HOSPITAL SERRA MAYOR";8;29;-;-;-;37
"5101654 HOSPITAL SINO BRASILEIRO";32;5;-;-;9;46
"2078155 HOSPITAL STELLA MARIS";5;6;1;-;1;13
"3018903 HOSPITAL UNIMED";-;1;-;-;-;1
"3038130 HOSPITAL UNIMED AMERICANA";-;1;-;-;-;1
"3366219 HOSPITAL UNIMED ARACATUBA";3;-;-;-;-;3
"2708566 HOSPITAL UNIMED DE SOROCABA DR MIGUEL VILLA NOVA SOEIRO";2;-;-;-;-;2
"3718395 HOSPITAL UNIMED LITORAL";-;-;-;1;-;1
"2080699 HOSPITAL UNIMED PIRACICABA";2;-;-;-;-;2
"6962831 HOSPITAL UNIMED RECIFE III";1;-;-;-;1;2
"7965192 HOSPITAL UNIMED RIBEIRAO PRETO";1;-;-;-;-;1
"6194168 HOSPITAL UNIMED UNIDADE ANCHIETA";2;-;-;-;-;2
"6437745 HOSPITAL UNIMED UNIDADE CONTORNO";3;-;-;-;-;3
"5586348 HOSPITAL UNIV DA UFSCAR PROF DR HORACIO C PANEPUCCI - SAO CARLOS (SP)";1;1;-;-;-;2
"2076926 HOSPITAL UNIVERSITARIO DA USP SAO PAULO";135;75;2;9;10;231
"0015245 HOSPITAL UNIVERSITARIO EVANGELICO MACKENZIE";1;-;-;-;-;1
"2587335 HOSPITAL UNIVERSITARIO REGIONAL DE MARINGA";1;-;-;-;-;1
"2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA";1;-;1;-;-;2
"2704900 HOSPITAL UNIVERSITARIO SAO FRANCISCO NA PROVIDENCIA DE DEUS";1;1;-;-;1;3
"2078376 HOSPITAL VERA CRUZ";2;-;-;-;-;2
"9735372 HOSPITAL VILA NOVA STAR";129;11;-;-;-;140
"5590450 HOSPITAL VILLA LOBOS";443;99;1;1;3;547
"6668143 HOSPITAL VITORIA";1054;137;-;3;6;1200
"7642423 HOSPITAL VITORIA";1;-;-;-;-;1
"3507157 HOSPITAL VIVALLE";7;-;-;-;-;7
"6988938 HOSPITAL VIVALLE - SAO JOSE DOS CAMPOS";1;-;-;-;-;1
"3811735 HOSPITALAR ASSUNCAO";-;1;-;-;2;3
"3272591 HOSPITALIS";1;1;-;-;-;2
"3027805 HSANP HOSPITAL";31;43;-;1;-;75
"3537943 HSM LTDA";-;1;-;-;-;1
"9392645 HUMANA MAGNA - SÇO PAULO (SP)";-;1;-;-;-;1
"2273748 HUV HOSPITAL UNIVERSITARIO DE VASSOURAS (RIO DE JANEIRO)";1;-;-;-;-;1
"2077590 IBCC";29;64;-;-;2;95
"2488892 IBR HOSPITAL - VITORIA DA CONQUISTA (BA)";2;-;-;-;-;2
"0019402 IMPERIAL HOSPITAL DE CARIDADE";1;-;-;-;-;1
"2480646 IMTAVI";-;1;-;-;1;2
"2288338 INI FIOCRUZ";1;1;-;-;-;2
"7261012 INNOVA HOSPITAIS ASSOCIADOS LTDA";7;2;-;-;2;11
"6396607 INNOVA HOSPITAIS ASSOCIADOS LTDA";1;-;-;-;-;1
"7544529 INST DE INFECT EMILIO RIBAS II BAIXADA SANTISTA";2;-;-;-;-;2
"2080125 INST DO CANCER ARNALDO VIEIRA DE CARVALHO";22;20;18;-;-;60
"0005428 INSTITUTO COUTO MAIA";1;-;-;-;-;1
"2088495 INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO";50;68;1;3;1;123
"2028840 INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO";679;140;4;21;2;846
"6123740 INSTITUTO DO CANCER DO ESTADO DE SAO PAULO";-;1;-;-;1;2
"2078066 INTERMEDICA HPS HOSPITAL PAULO SACRAMENTO";9;2;-;-;-;11
"2084368 INTERMEDICA SISTEMA DE SAUDE";63;19;1;-;6;89
"5074320 INTERMEDICA SISTEMA DE SAUDE SA";1;-;-;1;-;2
"9459413 INTERMEDICA SISTEMA DE SAUDE - SANTO ANDRE (SP)";2;1;-;-;-;3
"2088193 IRMANDADE DA STA CASA DE MISERICORD DE MOGI MIRIM MOGI MIRIM";-;1;-;-;-;1
"3027813 MASTER CLIN";-;4;-;-;-;4
"2825309 MEDICAL LIMEIRA";1;1;-;-;-;2
"2825589 METROPOLITANA DE SARANDI";-;1;-;-;-;1
"2784874 MOGI MATER HOSPITAL E MATERNIDADE";3;-;-;-;-;3
"3594432 NITEROI DOR";1;-;-;-;-;1
"2068672 NOTRE DAME INTERMEDICA SAUDE S A";1;-;-;-;-;1
"5239869 NOTRE DAME INTERMEDICA SAUDE S A INDICO PA SBC";-;1;-;-;-;1
"2040727 PA MUN DR ATUALPA GIRAO RABELO";14;28;-;-;3;45
"2075423 PA MUN SAO MATEUS II";1;1;-;-;-;2
"3037274 PRO MATRE PAULISTA";15;-;-;1;1;17
"0021520 PRONTO ATENDIMENTO DE VILA LUZITA";-;-;1;-;-;1
"6591620 PRONTO ATENDIMENTO INFANTIL";1;-;-;-;-;1
"2073552 PRONTO ATENDIMENTO JARDIM PARAISO";1;-;-;-;1;2
"2090589 PRONTO ATENDIMENTO MARIA DIRCE";-;1;-;1;-;2
"7931670 PRONTO ATENDIMENTO SANCTA MAGGIORE JARDIM PAULISTA";30;18;-;-;-;48
"9472908 PRONTO ATENDIMENTO SANCTA MAGGIORE SANTANA";21;15;-;-;4;40
"6654665 PRONTO ATENDIMENTO SANCTA MAGGIORE TATUAPE";8;-;-;-;1;9
"7228163 PRONTO SOCORRO CENTRAL";1;1;-;1;1;4
"2801051 PRONTO SOCORRO CENTRAL DE DIADEMA";7;2;2;2;50;63
"8002428 PRONTO SOCORRO CENTRAL GUIOMAR FERREIRA ROEBBELEN";3;-;-;-;1;4
"0008087 PRONTO SOCORRO CONRADO CESARINO NUVOLINI";2;-;-;-;-;2
"2063786 PRONTO SOCORRO DR AKIRA TADA";1;-;-;-;-;1
"0008141 PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA";-;1;-;-;-;1
"3828107 PRONTO SOCORRO DR OSMAR MESQUITA";15;1;-;-;-;16
"2024381 PRONTO SOCORRO MUNICIPAL ARNALDO DE FIGUEIREDO FREITAS";1;-;-;-;-;1
"9225137 PRONTO SOCORRO MUNICIPAL DE PINDAMONHANGABA";-;1;-;-;-;1
"2024373 PRONTO SOCORRO MUNICIPAL JOSE AGOSTINHO DOS SANTOS";9;-;-;-;-;9
"2789353 PRONTO SOCORRO PROF DR MATHEUS SANTAMARIA GUARUJA";-;1;-;-;-;1
"2082209 PS E MATERNIDADE NAIR FONSECA LEITAO ARANTES";8;3;2;-;-;13
"5932696 PS FENELON GUEDES PEREIRA";-;7;-;-;-;7
"7682581 PS JOSE IBRAHIN";12;10;-;-;5;27
"2037971 PS MUN AUGUSTO GOMES DE MATOS";4;20;-;-;3;27
"4050320 PS MUN DR ALVARO DINO DE ALMEIDA";25;31;3;3;231;293
"2027100 PS MUN DR CAETANO VIRGILIO NETTO";207;62;5;18;48;340
"2029189 PS MUN FREGUESIA DO O 21 DE JUNHO";132;80;1;2;3;218
"2082837 PS MUN PROF JOAO CATARIN MEZOMO";1;3;-;-;-;4
"2071495 PS MUN SANTANA LAURO RIBAS BRAGA";9;20;-;-;18;47
"2075407 PS MUN V MARIA BAIXA";155;17;-;17;6;195
"6024688 PSI PRONTO SOCORRO INFANTIL DE TABOAO DA SERRA";44;1;-;-;-;45
"2752093 PSM BALNEARIO SAO JOSE";9;3;-;-;9;21
"4050282 PSM DONA MARIA ANTONIETA FERREIRA DE BARROS";30;31;-;-;48;109
"0001120 REAL HOSPITAL PORTUGUES";-;1;-;-;-;1
"2078465 REAL SOCIEDADE PORTUGUESA DE BENEFICENCIA";2;2;-;1;-;5
"3580822 REDE DOR SAO LUIZ S A";2;2;-;-;-;4
"2078848 SANTA CASA ANNA CINTRA";1;-;-;-;1;2
"2083051 SANTA CASA DE APARECIDA";-;1;-;-;-;1
"5366828 SANTA CASA DE ATIBAIA";-;-;-;-;2;2
"0027014 SANTA CASA DE BELO HORIZONTE";4;-;-;-;-;4
"2135132 SANTA CASA DE CARIDADE";1;-;-;-;-;1
"2750988 SANTA CASA DE DRACENA - DRACENA (SP)";2;-;-;-;-;2
"2773333 SANTA CASA DE GUARAREMA";3;-;-;-;-;3
"2791722 SANTA CASA DE JAU";2;-;-;-;-;2
"2078074 SANTA CASA DE LEME";-;2;-;-;-;2
"2079917 SANTA CASA DE LOUVEIRA";1;-;-;-;-;1
"2751747 SANTA CASA DE MAUA";8;6;-;-;14;28
"2688433 SANTA CASA DE MISERICORDIA DE BRAGANCA PAULISTA";-;4;-;2;1;7
"2442612 SANTA CASA DE MISERICORDIA DE CATALAO";-;1;-;-;-;1
"2027186 SANTA CASA DE MISERICORDIA DE ITAPEVA";-;1;-;-;-;1
"2023709 SANTA CASA DE MISERICORDIA DE ITATIBA";-;1;-;-;-;1
"2096412 SANTA CASA DE MISERICORDIA DE JACAREI";2;-;-;-;-;2
"2153882 SANTA CASA DE MISERICORDIA DE JUIZ DE FORA";1;-;-;-;-;1
"2748029 SANTA CASA DE MISERICORDIA DE SAO JOSE DOS CAMPOS";1;1;-;-;3;5
"2702193 SANTA CASA DE MISERICORDIA DE UBATUBA";1;-;-;-;-;1
"2139200 SANTA CASA DE MISERICORDIA DO HOSPITAL SAO FRANCISCO DE ASSIS - TRES PONTAS (MG)";1;-;-;-;-;1
"2082845 SANTA CASA DE OLIMPIA";1;-;-;-;-;1
"2082519 SANTA CASA DE PARAGUACU PAULISTA";1;-;-;-;-;1
"2146525 SANTA CASA DE PARAISO";-;1;-;-;-;1
"2755092 SANTA CASA DE PINDAMONHANGABA";2;2;1;-;-;5
"2785382 SANTA CASA DE PIRASSUNUNGA";1;-;-;-;-;1
"2082888 SANTA CASA DE RIO CLARO";-;1;-;-;-;1
"2025752 SANTA CASA DE SANTOS";2;1;-;1;-;4
"2080931 SANTA CASA DE SAO CARLOS";4;1;-;-;-;5
"2688689 SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO";624;346;50;11;4;1035
"2084422 SANTA CASA DE SAO PEDRO";-;1;-;-;-;1
"2708779 SANTA CASA DE SOROCABA";2;1;-;-;-;3
"2699915 SANTA CASA DE VINHEDO";1;-;-;-;-;1
"2081377 SANTA CASA DE VOTUPORANGA";-;-;-;1;-;1
"2080532 SANTA CASA HOSP DR ARISTOTELES OLIVEIRA MARTINS PRES PRUDENT";1;-;-;-;-;1
"2084058 SANTA CASA MISER STA CRUZ RIO PARDO";1;-;-;-;-;1
"2083175 SANTA CASA PIEDADE - PIEDADE (SP)";1;-;-;-;-;1
"2078902 SANTA CASA PILAR DO SUL";-;1;-;-;-;1
"3719820 SANTA HELENA ASSISTENCIA MEDICA UNIDADE 12";-;1;1;-;-;2
"3824802 SAO LUIZ UNIDADE MORUMBI";1228;64;15;-;26;1333
"2786338 SECAO PRONTO SOCORRO DA ZONA NOROESTE SEPROS ZNO";1;-;-;-;-;1
"2298031 SES RJ HOSPITAL ESTADUAL ALBERTO TORRES GERAL SAO GONCALO";1;-;-;-;-;1
"2287250 SOCIEDADE PORTUGUESA DE BENEFICENCIA DE CAMPOS - CAMPOS DOS GOYTACAZES - RJ";1;-;-;-;-;1
"6938361 UNIDADE AMBULATORIAL HOSPITAL SAO CAETANO - SAO CAETANO DO SUL (SP)";-;6;-;-;-;6
"2077523 UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP";618;322;14;87;13;1054
"7184689 UNIDADE DE PRONTO ATENDIMENTO CENTRAL DE CARAGUATATUBA";-;-;-;1;-;1
"2706245 UNIDADE DE PRONTO ATENDIMENTO DE FRANCO DA ROCHA UPA II";1;-;-;-;2;3
"7868499 UNIDADE DE PRONTO ATENDIMENTO DRA ZILDA ARNS";4;3;-;17;-;24
"3474674 UNIDADE DE PRONTO ATENDIMENTO JARDIM ANGELA";2;2;-;-;1;5
"0023272 UNIDADE DE PRONTO ATENDIMENTO NORTE - BELO HORIZONTE (MG)";1;-;-;-;-;1
"7094132 UNIDADE DE PRONTO ATENDIMENTO UPA I SANTA ISABEL";-;1;-;-;-;1
"6986609 UNIDADE DE PRONTO ATENDIMENTO UPA ZONA SUL";1;-;-;-;-;1
"2072033 UNIDADE MISTA DE SAUDE DE EMBUGUACU";1;-;-;-;-;1
"2085976 UNIDADE MISTA DE SAUDE ROSA SANTA PASIN AGUIAR";1;2;-;-;-;3
"2785188 UNIDADE MISTA DE TABOAO DA SERRA";4;-;-;-;-;4
"5883229 UNIDADE PRE HOSPITALAR ZONA OESTE SOROCABA";-;1;-;-;-;1
"9156216 UNIMED GUARULHOS UNIDADE DE ATENDIMENTO";-;-;-;1;-;1
"2084902 UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MEDICO SJBV";1;-;-;-;-;1
"7053835 UPA ALVES DIAS ASSUNCAO";2;-;-;-;-;2
"7522738 UPA ATALAIA DRA RITA DE CASSIA SORIO";-;2;-;-;-;2
"6844596 UPA BAETA NEVES";3;-;-;-;-;3
"0008494 UPA BANGU";-;2;2;-;-;4
"2061562 UPA BARAO DE MAUA";-;-;-;-;3;3
"0017396 UPA BOA VISTA";-;1;-;-;-;1
"4050665 UPA CENTRAL";2;1;-;-;-;3
"9400109 UPA CUMBICA";5;2;1;1;-;9
"6535798 UPA DEMARCHI BATISTINI";2;-;-;-;-;2
"7429991 UPA DR AKIRA TADA";61;14;-;-;-;75
"9971513 UPA ERMELINO MATARAZZO";54;78;2;8;239;381
"9051422 UPA III 26 DE AGOSTO";37;38;-;3;158;236
"7479387 UPA III NOVA CAMPO LIMPO";1107;353;3;363;588;2414
"9997091 UPA JACANA";5;42;-;-;1;48
"6270131 UPA JAGUARE";-;1;-;-;-;1
"7152574 UPA JOSE CAMPOS BARRETO ZEQUINHA BARRETO";-;4;1;-;-;5
"6030807 UPA JOSE SANTOS SASSO";-;1;-;-;-;1
"2069032 UPA JULIO TUPY";112;122;11;-;51;296
"6950051 UPA MAGINI CENTRO";-;6;-;-;9;15
"7134665 UPA NOVA HOSTOLANDIA MANOEL GEORGINO LOPES - HORTOLANDIA - SP";1;-;-;-;-;1
"6821197 UPA PAULICEIA TABOAO";3;-;-;-;-;3
"6133460 UPA PEDREIRA DR CESAR ANTUNES DA ROCHA";-;5;-;-;2;7
"4050169 UPA PERUS DR LUIZ ANTONIO DE ABREU SAMPAIO DORIA";145;47;3;2;2;199
"6146341 UPA PIRITUBA";379;139;-;55;3;576
"7030878 UPA RUDGE RAMOS";29;3;-;-;-;32
"7021461 UPA SACADURA CABRAL";-;-;1;-;-;1
"7102429 UPA SANTA LUZIA";2;-;-;-;-;2
"2752107 UPA SANTO AMARO DR JOSE SYLVIO DE CAMARGO";8;13;-;-;21;42
"6916074 UPA SAO JOAO LAVRAS";-;1;-;1;-;2
"6418651 UPA SAO PEDRO";1;-;-;-;-;1
"7169310 UPA SILVINA";2;1;-;-;-;3
"9736700 UPA TITO LOPES";21;17;-;35;-;73
"6607667 UPA UNIAO ALVARENGA";2;-;-;-;-;2
"9505946 UPA VERA CRUZ";-;1;-;-;-;1
"6950043 UPA VILA ASSIS";-;2;-;-;-;2
"7638698 UPA VILA SANTA CATARINA";76;9;-;3;28;116
"6919456 UPA ZAIRA";1;-;-;-;3;4
"7297394 UPAE DR EMANUEL ALIRIO BRANDAO PETROLINA";1;-;-;-;-;1
"7299532 UPH LESTE UNIDADE PRE HOSPITALAR ZONA LESTE SOROCABA";-;1;-;-;-;1
"Total";76999;23089;702;1368;5849;108007
Fonte: SIVEP GRIPE/DVE/COVISA/SMS-SP. Data de atualização: 05/10/2022. Dados preliminares, sujeitos a alteração.
